"","navn","ministerpost","parti","start","stop","regering","r_start","r_stop","time","early"
"1","C.C. Zahrtmann"," Marineminister ",NA,1848-04-06,1848-11-16,"Regeringen-Moltke-I",1848-03-22,1848-11-16,0.61202185792331,0
"2","C.E. Bardenfleth"," Justitsminister ",NA,1848-03-22,1848-11-16,"Regeringen-Moltke-I",1848-03-22,1848-11-16,0.653005464480657,0
"3","A.F. Tscherning"," Krigsminister ",NA,1848-03-22,1848-11-16,"Regeringen-Moltke-I",1848-03-22,1848-11-16,0.653005464480657,0
"4","D.G. Monrad"," Kultusminister ",NA,1848-03-22,1848-11-16,"Regeringen-Moltke-I",1848-03-22,1848-11-16,0.653005464480657,0
"5","C.A. Blume"," Handelsminister",NA,1848-03-22,1848-11-16,"Regeringen-Moltke-I",1848-03-22,1848-11-16,0.653005464480657,0
"6","Wilhelm Sponneck"," Finansminister ",NA,1848-11-16,1851-07-13,"Regeringen-Moltke-II",1848-11-16,1851-07-13,2.6544501833971,0
"7","F. Tillisch"," Minister for Slesvig ",NA,1851-03-05,1851-07-13,"Regeringen-Moltke-II",1848-11-16,1851-07-13,0.356164383561691,0
"8","J.N. Madvig"," Kultusminister ",NA,1848-11-16,1851-07-13,"Regeringen-Moltke-II",1848-11-16,1851-07-13,2.6544501833971,0
"9","C.E. Bardenfleth"," Justitsminister ",NA,1848-11-16,1851-07-13,"Regeringen-Moltke-II",1848-11-16,1851-07-13,2.6544501833971,0
"10","C.F. Hansen"," Krigsminister ",NA,1848-11-16,1851-07-13,"Regeringen-Moltke-II",1848-11-16,1851-07-13,2.6544501833971,0
"11","Holger Reedtz"," Udenrigsminister ",NA,1850-08-06,1851-07-13,"Regeringen-Moltke-II",1848-11-16,1851-07-13,0.934246575342513,0
"12","C.C. Zahrtmann"," Marineminister ",NA,1848-11-16,1850-08-10,"Regeringen-Moltke-II",1848-11-16,1851-07-13,1.73116251216425,1
"13","Carl L.C. Irminger"," Marineminister ",NA,1850-08-10,1850-11-25,"Regeringen-Moltke-II",1848-11-16,1851-07-13,0.293150684931561,1
"14","C. van Dockum"," Marineminister ",NA,1850-11-25,1851-07-13,"Regeringen-Moltke-II",1848-11-16,1851-07-13,0.630136986301295,0
"15","P.G. Bang"," Indenrigsminister ",NA,1848-11-16,1849-09-21,"Regeringen-Moltke-II",1848-11-16,1851-07-13,0.846231005314849,1
"16","A.W. Moltke"," Premierminister ",NA,1851-07-13,1851-10-18,"Regeringen-Moltke-III",1851-07-13,1851-10-18,0.265753424657532,0
"17","Wilhelm Sponneck"," Finansminister ",NA,1851-07-13,1851-10-18,"Regeringen-Moltke-III",1851-07-13,1851-10-18,0.265753424657532,0
