"","navn","ministerpost","parti","start","stop","dod","regering","r_start","r_stop","time","p_start","p_stop","early","regering_lower","Nr","Regeringsnavn","Fra","Parti(er)","Til","Kaldenavn","url_add"
"1","A.W. Moltke"," Premierminister og  Finansminister og Marineminister (til 06.04.1848) ",NA,1848-03-22,1848-04-06,"06.04.1848","Regeringen-Moltke-I",1848-03-22,NA,0.0409836065573472,1848-03-22,1848-04-06,NA,"regeringen-moltke-i",1,"Regeringen Moltke I","22. marts 1848","Konservativ-nationalliberal","16. november 1848 (0 år og 239 dage)","Martsministeriet","Regeringen-Moltke-I"
"2","C.C. Zahrtmann"," Marineminister (fra 06.04.1848)  og ",NA,1848-04-06,1848-04-06,"06.04.1848","Regeringen-Moltke-I",1848-03-22,NA,0,1848-04-06,1848-04-06,NA,"regeringen-moltke-i",1,"Regeringen Moltke I","22. marts 1848","Konservativ-nationalliberal","16. november 1848 (0 år og 239 dage)","Martsministeriet","Regeringen-Moltke-I"
"3","Orla Lehmann"," u.p.  og ",NA,1848-03-22,NA,"","Regeringen-Moltke-I",1848-03-22,NA,NA,1848-03-22,NA,NA,"regeringen-moltke-i",1,"Regeringen Moltke I","22. marts 1848","Konservativ-nationalliberal","16. november 1848 (0 år og 239 dage)","Martsministeriet","Regeringen-Moltke-I"
"4","L.N. Hvidt"," u.p.  og ",NA,1848-03-22,NA,"","Regeringen-Moltke-I",1848-03-22,NA,NA,1848-03-22,NA,NA,"regeringen-moltke-i",1,"Regeringen Moltke I","22. marts 1848","Konservativ-nationalliberal","16. november 1848 (0 år og 239 dage)","Martsministeriet","Regeringen-Moltke-I"
"5","C.E. Bardenfleth"," Justitsminister  og ",NA,1848-03-22,NA,"","Regeringen-Moltke-I",1848-03-22,NA,NA,1848-03-22,NA,NA,"regeringen-moltke-i",1,"Regeringen Moltke I","22. marts 1848","Konservativ-nationalliberal","16. november 1848 (0 år og 239 dage)","Martsministeriet","Regeringen-Moltke-I"
"6","F.M. Knuth; Udenrigsminister "," og ",NA,1848-03-22,NA,"","Regeringen-Moltke-I",1848-03-22,NA,NA,1848-03-22,NA,NA,"regeringen-moltke-i",1,"Regeringen Moltke I","22. marts 1848","Konservativ-nationalliberal","16. november 1848 (0 år og 239 dage)","Martsministeriet","Regeringen-Moltke-I"
"7","A.F. Tscherning"," Krigsminister  og ",NA,1848-03-22,NA,"","Regeringen-Moltke-I",1848-03-22,NA,NA,1848-03-22,NA,NA,"regeringen-moltke-i",1,"Regeringen Moltke I","22. marts 1848","Konservativ-nationalliberal","16. november 1848 (0 år og 239 dage)","Martsministeriet","Regeringen-Moltke-I"
"8","D.G. Monrad"," Kultusminister  og ",NA,1848-03-22,NA,"","Regeringen-Moltke-I",1848-03-22,NA,NA,1848-03-22,NA,NA,"regeringen-moltke-i",1,"Regeringen Moltke I","22. marts 1848","Konservativ-nationalliberal","16. november 1848 (0 år og 239 dage)","Martsministeriet","Regeringen-Moltke-I"
"9","C.A. Blume"," Handelsminister og ",NA,1848-03-22,NA,"","Regeringen-Moltke-I",1848-03-22,NA,NA,1848-03-22,NA,NA,"regeringen-moltke-i",1,"Regeringen Moltke I","22. marts 1848","Konservativ-nationalliberal","16. november 1848 (0 år og 239 dage)","Martsministeriet","Regeringen-Moltke-I"
"10","A.W. Moltke"," Premierminister og  Udenrigsminister (til 06.08.1850) ",NA,1848-11-16,1850-08-06,"06.08.1850","Regeringen-Moltke-II",1848-11-16,NA,1.72020360805459,1848-11-16,1850-08-06,NA,"regeringen-moltke-ii",2,"Regeringen Moltke II","16. november 1848","Konservativ","13. juli 1851 (2 år og 239 dage)","Novemberministeriet","Regeringen-Moltke-II"
"11","Wilhelm Sponneck"," Finansminister  og ",NA,1848-11-16,NA,"","Regeringen-Moltke-II",1848-11-16,NA,NA,1848-11-16,NA,NA,"regeringen-moltke-ii",2,"Regeringen Moltke II","16. november 1848","Konservativ","13. juli 1851 (2 år og 239 dage)","Novemberministeriet","Regeringen-Moltke-II"
"12","F. Tillisch"," Minister for Slesvig (fra 05.03.1851)  og ",NA,1851-03-05,1851-03-05,"05.03.1851","Regeringen-Moltke-II",1848-11-16,NA,0,1851-03-05,1851-03-05,NA,"regeringen-moltke-ii",2,"Regeringen Moltke II","16. november 1848","Konservativ","13. juli 1851 (2 år og 239 dage)","Novemberministeriet","Regeringen-Moltke-II"
"13","J.N. Madvig"," Kultusminister  og ",NA,1848-11-16,NA,"","Regeringen-Moltke-II",1848-11-16,NA,NA,1848-11-16,NA,NA,"regeringen-moltke-ii",2,"Regeringen Moltke II","16. november 1848","Konservativ","13. juli 1851 (2 år og 239 dage)","Novemberministeriet","Regeringen-Moltke-II"
"14","C.E. Bardenfleth"," Justitsminister  og ",NA,1848-11-16,NA,"","Regeringen-Moltke-II",1848-11-16,NA,NA,1848-11-16,NA,NA,"regeringen-moltke-ii",2,"Regeringen Moltke II","16. november 1848","Konservativ","13. juli 1851 (2 år og 239 dage)","Novemberministeriet","Regeringen-Moltke-II"
"15","C.F. Hansen"," Krigsminister  og ",NA,1848-11-16,NA,"","Regeringen-Moltke-II",1848-11-16,NA,NA,1848-11-16,NA,NA,"regeringen-moltke-ii",2,"Regeringen Moltke II","16. november 1848","Konservativ","13. juli 1851 (2 år og 239 dage)","Novemberministeriet","Regeringen-Moltke-II"
"16","Holger Reedtz"," Udenrigsminister (fra 06.08.1850)  og ",NA,1850-08-06,1850-08-06,"06.08.1850","Regeringen-Moltke-II",1848-11-16,NA,0,1850-08-06,1850-08-06,NA,"regeringen-moltke-ii",2,"Regeringen Moltke II","16. november 1848","Konservativ","13. juli 1851 (2 år og 239 dage)","Novemberministeriet","Regeringen-Moltke-II"
"17","C.C. Zahrtmann"," Marineminister (til 10.08.1850)  og ",NA,1848-11-16,1850-08-10,"10.08.1850","Regeringen-Moltke-II",1848-11-16,NA,1.73116251216425,1848-11-16,1850-08-10,NA,"regeringen-moltke-ii",2,"Regeringen Moltke II","16. november 1848","Konservativ","13. juli 1851 (2 år og 239 dage)","Novemberministeriet","Regeringen-Moltke-II"
"18","Carl L.C. Irminger"," Marineminister (fra 10.08.1850 – 25.11.1850)  og ",NA,1850-08-10,1850-08-10,"10.08.1850","Regeringen-Moltke-II",1848-11-16,NA,0,1850-08-10,1850-08-10,NA,"regeringen-moltke-ii",2,"Regeringen Moltke II","16. november 1848","Konservativ","13. juli 1851 (2 år og 239 dage)","Novemberministeriet","Regeringen-Moltke-II"
"19","C. van Dockum"," Marineminister (fra 25.11.1850)  og ",NA,1850-11-25,1850-11-25,"25.11.1850","Regeringen-Moltke-II",1848-11-16,NA,0,1850-11-25,1850-11-25,NA,"regeringen-moltke-ii",2,"Regeringen Moltke II","16. november 1848","Konservativ","13. juli 1851 (2 år og 239 dage)","Novemberministeriet","Regeringen-Moltke-II"
"20","P.G. Bang"," Indenrigsminister (til 21.09.1849)  og ",NA,1848-11-16,1849-09-21,"21.09.1849","Regeringen-Moltke-II",1848-11-16,NA,0.846231005314849,1848-11-16,1849-09-21,NA,"regeringen-moltke-ii",2,"Regeringen Moltke II","16. november 1848","Konservativ","13. juli 1851 (2 år og 239 dage)","Novemberministeriet","Regeringen-Moltke-II"
"21","M.H. Rosenørn"," Indenrigsminister H.N. Clausen og  u.p.",NA,1848-11-16,NA,"","Regeringen-Moltke-II",1848-11-16,NA,NA,1848-11-16,NA,NA,"regeringen-moltke-ii",2,"Regeringen Moltke II","16. november 1848","Konservativ","13. juli 1851 (2 år og 239 dage)","Novemberministeriet","Regeringen-Moltke-II"
"22","A.W. Moltke"," Premierminister ",NA,1851-07-13,1851-10-18,NA,"Regeringen-Moltke-III",1851-07-13,1851-10-18,0.265753424657532,1851-07-13,1851-10-18,0,"regeringen-moltke-iii",3,"Regeringen Moltke III","13. juli 1851","Konservativ","18. oktober 1851 (0 år og 97 dage)","Juliministeriet","Regeringen-Moltke-III"
"23","Wilhelm Sponneck"," Finansminister ",NA,1851-07-13,1851-10-18,NA,"Regeringen-Moltke-III",1851-07-13,1851-10-18,0.265753424657532,1851-07-13,1851-10-18,0,"regeringen-moltke-iii",3,"Regeringen Moltke III","13. juli 1851","Konservativ","18. oktober 1851 (0 år og 97 dage)","Juliministeriet","Regeringen-Moltke-III"
"24","F. Tillisch"," Indenrigsminister ",NA,1851-07-13,1851-10-18,NA,"Regeringen-Moltke-III",1851-07-13,1851-10-18,0.265753424657532,1851-07-13,1851-10-18,0,"regeringen-moltke-iii",3,"Regeringen Moltke III","13. juli 1851","Konservativ","18. oktober 1851 (0 år og 97 dage)","Juliministeriet","Regeringen-Moltke-III"
"25","J.N. Madvig"," Kultusminister ",NA,1851-07-13,1851-10-18,NA,"Regeringen-Moltke-III",1851-07-13,1851-10-18,0.265753424657532,1851-07-13,1851-10-18,0,"regeringen-moltke-iii",3,"Regeringen Moltke III","13. juli 1851","Konservativ","18. oktober 1851 (0 år og 97 dage)","Juliministeriet","Regeringen-Moltke-III"
"26","C.E. Bardenfleth"," Minister for Slesvig ",NA,1851-07-13,1851-10-18,NA,"Regeringen-Moltke-III",1851-07-13,1851-10-18,0.265753424657532,1851-07-13,1851-10-18,0,"regeringen-moltke-iii",3,"Regeringen Moltke III","13. juli 1851","Konservativ","18. oktober 1851 (0 år og 97 dage)","Juliministeriet","Regeringen-Moltke-III"
"27","Carl Moltke"," u.p. ",NA,1851-07-13,1851-10-18,NA,"Regeringen-Moltke-III",1851-07-13,1851-10-18,0.265753424657532,1851-07-13,1851-10-18,0,"regeringen-moltke-iii",3,"Regeringen Moltke III","13. juli 1851","Konservativ","18. oktober 1851 (0 år og 97 dage)","Juliministeriet","Regeringen-Moltke-III"
"28","Holger Reedtz"," Udenrigsminister ",NA,1851-07-13,1851-10-18,NA,"Regeringen-Moltke-III",1851-07-13,1851-10-18,0.265753424657532,1851-07-13,1851-10-18,0,"regeringen-moltke-iii",3,"Regeringen Moltke III","13. juli 1851","Konservativ","18. oktober 1851 (0 år og 97 dage)","Juliministeriet","Regeringen-Moltke-III"
"29","Jacob Fibiger"," Krigsminister ",NA,1851-07-13,1851-10-18,NA,"Regeringen-Moltke-III",1851-07-13,1851-10-18,0.265753424657532,1851-07-13,1851-10-18,0,"regeringen-moltke-iii",3,"Regeringen Moltke III","13. juli 1851","Konservativ","18. oktober 1851 (0 år og 97 dage)","Juliministeriet","Regeringen-Moltke-III"
"30","C. van Dockum"," Marineminister ",NA,1851-07-13,1851-10-18,NA,"Regeringen-Moltke-III",1851-07-13,1851-10-18,0.265753424657532,1851-07-13,1851-10-18,0,"regeringen-moltke-iii",3,"Regeringen Moltke III","13. juli 1851","Konservativ","18. oktober 1851 (0 år og 97 dage)","Juliministeriet","Regeringen-Moltke-III"
"31","A.W. Scheel"," Justitsminister",NA,1851-07-13,1851-10-18,NA,"Regeringen-Moltke-III",1851-07-13,1851-10-18,0.265753424657532,1851-07-13,1851-10-18,0,"regeringen-moltke-iii",3,"Regeringen Moltke III","13. juli 1851","Konservativ","18. oktober 1851 (0 år og 97 dage)","Juliministeriet","Regeringen-Moltke-III"
"32","A.W. Moltke"," Premierminister ",NA,1851-10-18,NA,"","Regeringen-Moltke-IV",1851-10-18,NA,NA,1851-10-18,NA,NA,"regeringen-moltke-iv",4,"Regeringen Moltke IV","18. oktober 1851","Konservativ","27. januar 1852 (0 år og 101 dage)","Oktoberministeriet","Regeringen-Moltke-IV"
"33","Wilhelm Sponneck"," Finansminister ",NA,1851-10-18,NA,"","Regeringen-Moltke-IV",1851-10-18,NA,NA,1851-10-18,NA,NA,"regeringen-moltke-iv",4,"Regeringen Moltke IV","18. oktober 1851","Konservativ","27. januar 1852 (0 år og 101 dage)","Oktoberministeriet","Regeringen-Moltke-IV"
"34","F. Tillisch"," Indenrigsminister ",NA,1851-10-18,NA,"","Regeringen-Moltke-IV",1851-10-18,NA,NA,1851-10-18,NA,NA,"regeringen-moltke-iv",4,"Regeringen Moltke IV","18. oktober 1851","Konservativ","27. januar 1852 (0 år og 101 dage)","Oktoberministeriet","Regeringen-Moltke-IV"
"35","J.N. Madvig"," Kultusminister (til 07.12.51) ",NA,1851-10-18,2051-12-07,"07.12.51","Regeringen-Moltke-IV",1851-10-18,NA,200.13698630137,1851-10-18,2051-12-07,NA,"regeringen-moltke-iv",4,"Regeringen Moltke IV","18. oktober 1851","Konservativ","27. januar 1852 (0 år og 101 dage)","Oktoberministeriet","Regeringen-Moltke-IV"
"36","C.E. Bardenfleth"," Minister for Slesvig ",NA,1851-10-18,NA,"","Regeringen-Moltke-IV",1851-10-18,NA,NA,1851-10-18,NA,NA,"regeringen-moltke-iv",4,"Regeringen Moltke IV","18. oktober 1851","Konservativ","27. januar 1852 (0 år og 101 dage)","Oktoberministeriet","Regeringen-Moltke-IV"
"37","P.C. Bang"," Kultusminister (fra 07.12.51) ",NA,1851-12-07,2051-12-07,"07.12.51","Regeringen-Moltke-IV",1851-10-18,NA,200,1851-12-07,2051-12-07,NA,"regeringen-moltke-iv",4,"Regeringen Moltke IV","18. oktober 1851","Konservativ","27. januar 1852 (0 år og 101 dage)","Oktoberministeriet","Regeringen-Moltke-IV"
"38","C.A. Bluhme"," Udenrigsminister ",NA,1851-10-18,NA,"","Regeringen-Moltke-IV",1851-10-18,NA,NA,1851-10-18,NA,NA,"regeringen-moltke-iv",4,"Regeringen Moltke IV","18. oktober 1851","Konservativ","27. januar 1852 (0 år og 101 dage)","Oktoberministeriet","Regeringen-Moltke-IV"
"39","C. van Dockum"," Marineminister ",NA,1851-10-18,NA,"","Regeringen-Moltke-IV",1851-10-18,NA,NA,1851-10-18,NA,NA,"regeringen-moltke-iv",4,"Regeringen Moltke IV","18. oktober 1851","Konservativ","27. januar 1852 (0 år og 101 dage)","Oktoberministeriet","Regeringen-Moltke-IV"
"40","C.J. Flensborg"," Krigsminister ",NA,1851-10-18,NA,"","Regeringen-Moltke-IV",1851-10-18,NA,NA,1851-10-18,NA,NA,"regeringen-moltke-iv",4,"Regeringen Moltke IV","18. oktober 1851","Konservativ","27. januar 1852 (0 år og 101 dage)","Oktoberministeriet","Regeringen-Moltke-IV"
"41","A.W. Scheel"," Justitsminister",NA,1851-10-18,NA,"","Regeringen-Moltke-IV",1851-10-18,NA,NA,1851-10-18,NA,NA,"regeringen-moltke-iv",4,"Regeringen Moltke IV","18. oktober 1851","Konservativ","27. januar 1852 (0 år og 101 dage)","Oktoberministeriet","Regeringen-Moltke-IV"
"42","C.A. Blume"," Premierminister og  Udenrigsminister ",NA,1852-01-27,NA,"","Regeringen-Bluhme-I",1852-01-27,NA,NA,1852-01-27,NA,NA,"regeringen-bluhme-i",5,"Regeringen Bluhme I","27. januar 1852","","21. april 1853 (1 år og 84 dage)","Januarministeriet","Regeringen-Bluhme-I"
"43","Wilhelm Sponneck"," Finansminister  og ",NA,1852-01-27,NA,"","Regeringen-Bluhme-I",1852-01-27,NA,NA,1852-01-27,NA,NA,"regeringen-bluhme-i",5,"Regeringen Bluhme I","27. januar 1852","","21. april 1853 (1 år og 84 dage)","Januarministeriet","Regeringen-Bluhme-I"
