country,portfolio,name,start_date,end_date,dob,dod,cause_of_death,wikidata_id
Denmark,Defense,Erling Brøndum,1973-12-19,1975-02-13,1930-07-11,2017-08-04,,Q5599684
Denmark,Defense,Orla Møller,1975-02-13,1977-10-01,1916-05-07,1979-02-14,,Q12330451
Denmark,Defense,Poul Søgaard,1977-10-01,1982-09-10,1923-11-12,2016-12-13,,Q6202432
Denmark,Defense,Hans Engell,1982-09-10,1987-09-10,1948-10-08,,,Q514269
Denmark,Defense,Bernt Johan Collet,1987-09-10,1988-06-03,1941-11-23,,,Q4994523
Denmark,Defense,Knud Enggaard,1988-06-03,1993-01-25,1929-06-04,2024-04-11,,Q11126408
Denmark,Defense,Hans Hækkerup,1993-01-25,2000-12-21,1945-12-03,2013-12-22,,Q1390745
Denmark,Defense,Jan Trøjborg,2000-12-21,2001-11-27,1955-12-14,2012-05-06,myocardial infarction,Q1521470
Denmark,Defense,Svend Aage Jensby,2001-11-27,2004-04-24,1940-09-10,,,Q724837
Denmark,Defense,Søren Gade,2004-04-24,2010-02-23,1963-01-27,,,Q1476255
Denmark,Defense,Gitte Lillelund Bech,2010-02-23,2011-10-03,1969-01-21,,,Q3107873
Denmark,Defense,Nick Hækkerup,2011-10-03,2013-08-09,1968-04-03,,,Q645613
Denmark,Defense,Nicolai Wammen,2013-08-09,2015-06-28,1971-02-07,,,Q575363
Denmark,Defense,Carl Holst,2015-06-28,2015-09-30,1970-04-29,,,Q3560841
Denmark,Defense,Peter Christensen,2015-09-30,2016-11-28,,,,Q344772
Denmark,Defense,Claus Hjort Frederiksen,2016-11-28,2019-06-27,1947-09-04,,,Q2978598
Denmark,Defense,Trine Bramsen,2019-06-27,2022-02-04,1981-03-26,,,Q12339763
Denmark,Defense,Morten Bødskov,2022-02-04,2022-12-15,1970-05-01,,,Q375980
Denmark,Defense,Jakob Ellemann-Jensen,2022-12-15,2023-02-06,1973-09-25,,,Q12318947
Denmark,Defense,Troels Lund Poulsen,2023-02-06,2023-08-01,1976-03-30,,,Q3080572
Denmark,Defense,Jakob Ellemann-Jensen,2023-08-01,2023-08-22,1973-09-25,,,Q12318947
Denmark,Defense,Troels Lund Poulsen,2023-08-22,,1976-03-30,,,Q3080572
