country,portfolio,name,start_date,end_date
Denmark,Defense,"Erling Brøndum",1973-12-19,1975-02-13
Denmark,Defense,"Orla Møller",1975-02-13,1977-10-01
Denmark,Defense,"Poul Søgaard",1977-10-01,1982-09-10
Denmark,Defense,"Hans Engell",1982-09-10,1987-09-10
Denmark,Defense,"Bernt Johan Collet",1987-09-10,1988-06-03
Denmark,Defense,"Knud Enggaard",1988-06-03,1993-01-25
Denmark,Defense,"Hans Hækkerup",1993-01-25,2000-12-21
Denmark,Defense,"Jan Trøjborg",2000-12-21,2001-11-27
Denmark,Defense,"Svend Aage Jensby",2001-11-27,2004-04-24
Denmark,Defense,"Søren Gade",2004-04-24,2010-02-23
Denmark,Defense,"Gitte Lillelund Bech",2010-02-23,2011-10-03
Denmark,Defense,"Nick Hækkerup",2011-10-03,2013-08-09
Denmark,Defense,"Nicolai Wammen",2013-08-09,2015-06-28
Denmark,Defense,"Carl Holst",2015-06-28,2015-09-30
Denmark,Defense,"Peter Christensen",2015-09-30,2016-11-28
Denmark,Defense,"Claus Hjort Frederiksen",2016-11-28,2019-06-27
Denmark,Defense,"Trine Bramsen",2019-06-27,2022-02-04
Denmark,Defense,"Morten Bødskov",2022-02-04,2022-12-15
Denmark,Defense,"Jakob Ellemann-Jensen",2022-12-15,2023-02-06
Denmark,Defense,"Troels Lund Poulsen",2023-02-06,2023-08-01
Denmark,Defense,"Jakob Ellemann-Jensen",2023-08-01,2023-08-22
Denmark,Defense,"Troels Lund Poulsen",2023-08-22,
