country,portfolio,name,start_date,end_date,dob,dod,cause_of_death,wikidata_id
Denmark,Finance,Anders Ejnar Andersen,1973-12-19,1975-02-13,1912-10-01,2006-04-13,,Q5553151
Denmark,Finance,Knud Heinesen,1975-02-13,1979-10-26,1932-09-26,2025-01-08,,Q12322307
Denmark,Finance,Svend Jakobsen,1979-10-26,1981-12-30,1935-11-01,2022-05-28,,Q5827280
Denmark,Finance,Knud Heinesen,1981-12-30,1982-09-10,1932-09-26,2025-01-08,,Q12322307
Denmark,Finance,Henning Christophersen,1982-09-10,1984-07-23,1939-11-08,2016-12-31,,Q646148
Denmark,Finance,Palle Simonsen,1984-07-23,1989-10-31,,,,Q3276137
Denmark,Finance,Henning Dyremose,1989-10-31,1993-01-25,1977-10-09,,,Q12305692
Denmark,Finance,Mogens Lykketoft,1993-01-25,2000-12-21,1946-01-09,,,Q1937560
Denmark,Finance,Pia Gjellerup,2000-12-21,2001-11-27,1959-08-22,,,Q273942
Denmark,Finance,Thor Pedersen,2001-11-27,2007-11-23,1945-06-14,,,Q1371946
Denmark,Finance,Lars Løkke Rasmussen,2007-11-23,2009-04-07,1964-05-15,,,Q182397
Denmark,Finance,Claus Hjort Frederiksen,2009-04-07,2011-10-03,1947-09-04,,,Q2978598
Denmark,Finance,Bjarne Corydon,2011-10-03,2015-06-28,1973-03-01,,,Q879350
Denmark,Finance,Claus Hjort Frederiksen,2015-06-28,2016-11-28,1947-09-04,,,Q2978598
Denmark,Finance,Kristian Jensen,2016-11-28,2019-06-27,1971-05-21,,,Q3110095
Denmark,Finance,Nicolai Wammen,2019-06-27,Incumbent,1971-02-07,,,Q575363
