country,portfolio,name,start_date,end_date
Denmark,Finance,Anders Ejnar Andersen,1973-12-19,1975-02-13
Denmark,Finance,Knud Heinesen,1975-02-13,1979-10-26
Denmark,Finance,Svend Jakobsen,1979-10-26,1981-12-30
Denmark,Finance,Knud Heinesen,1981-12-30,1982-09-10
Denmark,Finance,Henning Christophersen,1982-09-10,1984-07-23
Denmark,Finance,Palle Simonsen,1984-07-23,1989-10-31
Denmark,Finance,Henning Dyremose,1989-10-31,1993-01-25
Denmark,Finance,Mogens Lykketoft,1993-01-25,2000-12-21
Denmark,Finance,Pia Gjellerup,2000-12-21,2001-11-27
Denmark,Finance,Thor Pedersen,2001-11-27,2007-11-23
Denmark,Finance,Lars Løkke Rasmussen,2007-11-23,2009-04-07
Denmark,Finance,Claus Hjort Frederiksen,2009-04-07,2011-10-03
Denmark,Finance,Bjarne Corydon,2011-10-03,2015-06-28
Denmark,Finance,Claus Hjort Frederiksen,2015-06-28,2016-11-28
Denmark,Finance,Kristian Jensen,2016-11-28,2019-06-27
Denmark,Finance,Nicolai Wammen,2019-06-27,Incumbent
