country,portfolio,name,start_date,end_date,dob,dod,cause_of_death,wikidata_id
Denmark,Health,Agnete Laustsen,10 September 1987,3 June 1988,1935-09-25,2018-10-23,,Q4961293
Denmark,Health,Elsebeth Kock-Petersen,3 June 1988,7 December 1989,1949-01-15,,,Q4959339
Denmark,Health,Ester Larsen,7 December 1989,25 January 1993,1936-05-23,2025-01-18,,Q4960933
Denmark,Health,Torben Lund,25 January 1993,27 September 1994,1950-11-06,,,Q177583
Denmark,Health,Yvonne Herløv Andersen,27 September 1994,30 December 1996,1942-09-11,,,Q1588959
Denmark,Health,Birte Weiss,30 December 1996,23 March 1998,1941-05-01,,,Q3435893
Denmark,Health,Carsten Koch,23 March 1998,23 February 2000,,,,Q60170036
Denmark,Health,Sonja Mikkelsen,23 February 2000,21 December 2000,1955-06-20,,,Q3735271
Denmark,Health,Arne Rolighed,21 December 2000,27 November 2001,1947-06-02,,,Q3788721
Denmark,Health,Lars Løkke Rasmussen,27 November 2001,23 November 2007,1964-05-15,,,Q182397
Denmark,Health,Jakob Axel Nielsen,23 November 2007,23 February 2010,1967-04-12,,,Q3160663
Denmark,Health,Bertel Haarder,23 February 2010,3 October 2011,1944-09-07,,,Q567098
Denmark,Health,Astrid Krag,3 October 2011,30 January 2014,1982-11-17,,,Q463680
Denmark,Health,Nick Hækkerup,3 February 2014,28 June 2015,1968-04-03,,,Q645613
Denmark,Health,Sophie Løhde,28 June 2015,28 November 2016,1983-09-11,,,Q12336452
Denmark,Health,Ellen Trane Nørby,28 November 2016,27 June 2019,1980-02-01,,,Q12309819
Denmark,Health,Magnus Heunicke,27 June 2019,15 December 2022,1975-01-28,,,Q12325727
Denmark,Health,Sophie Løhde,15 December 2022,Incumbent,1983-09-11,,,Q12336452
