country,portfolio,name,start_date,end_date
Denmark,Health,"Agnete Laustsen","10 September 1987","3 June 1988"
Denmark,Health,"Elsebeth Kock-Petersen","3 June 1988","7 December 1989"
Denmark,Health,"Ester Larsen","7 December 1989","25 January 1993"
Denmark,Health,"Torben Lund","25 January 1993","27 September 1994"
Denmark,Health,"Yvonne Herløv Andersen","27 September 1994","30 December 1996"
Denmark,Health,"Birte Weiss","30 December 1996","23 March 1998"
Denmark,Health,"Carsten Koch","23 March 1998","23 February 2000"
Denmark,Health,"Sonja Mikkelsen","23 February 2000","21 December 2000"
Denmark,Health,"Arne Rolighed","21 December 2000","27 November 2001"
Denmark,Health,"Lars Løkke Rasmussen","27 November 2001","23 November 2007"
Denmark,Health,"Jakob Axel Nielsen","23 November 2007","23 February 2010"
Denmark,Health,"Bertel Haarder","23 February 2010","3 October 2011"
Denmark,Health,"Astrid Krag","3 October 2011","30 January 2014"
Denmark,Health,"Nick Hækkerup","3 February 2014","28 June 2015"
Denmark,Health,"Sophie Løhde","28 June 2015","28 November 2016"
Denmark,Health,"Ellen Trane Nørby","28 November 2016","27 June 2019"
Denmark,Health,"Magnus Heunicke","27 June 2019","15 December 2022"
Denmark,Health,"Sophie Løhde","15 December 2022","Incumbent"
