country,portfolio,name,start_date,end_date,dob,dod,cause_of_death,wikidata_id
Denmark,Interior,Jacob Sørensen,19 December 1973,13 February 1975,,,,Q98044825
Denmark,Interior,Egon Jensen,13 February 1975,30 August 1978,,,,Q12309499
Denmark,Interior,Knud Enggaard,30 August 1978,26 October 1979,1929-06-04,2024-04-11,,Q11126408
Denmark,Interior,Henning Rasmussen,26 October 1979,10 September 1982,,,,Q3276137
Denmark,Interior,Britta Schall Holberg,10 September 1982,12 March 1986,1941-07-25,2022-02-23,,Q4977258
Denmark,Interior,Knud Enggaard,12 March 1986,10 September 1987,1929-06-04,2024-04-11,,Q11126408
Denmark,Interior,Thor Pedersen,10 September 1987,25 January 1993,1945-06-14,,,Q1371946
Denmark,Interior,Birte Weiss,25 January 1993,20 October 1997,1941-05-01,,,Q3435893
Denmark,Interior,Thorkild Simonsen,20 October 1997,23 February 2000,1926-07-07,2022-09-04,,Q2428917
Denmark,Interior,Karen Jespersen,23 February 2000,27 November 2001,1947-01-17,,,Q447578
Denmark,Interior,Lars Løkke Rasmussen,27 November 2001,23 November 2007,1964-05-15,,,Q182397
Denmark,Interior,Karen Ellemann,7 April 2009,23 February 2010,1969-08-26,,,Q3042869
Denmark,Interior,Bertel Haarder,23 February 2010,3 October 2011,1944-09-07,,,Q567098
Denmark,Interior,Margrethe Vestager,3 October 2011,2 September 2014,1968-04-13,,,Q270820
Denmark,Interior,Morten Østergaard,2 September 2014,28 June 2015,1976-06-17,,,Q531763
Denmark,Interior,Karen Ellemann,28 June 2015,28 November 2016,1969-08-26,,,Q3042869
Denmark,Interior,Simon Emil Ammitzbøll-Bille,28 November 2016,27 June 2019,1977-10-20,,,Q952472
Denmark,Interior,Astrid Krag,27 June 2019,21 January 2021,1982-11-17,,,Q463680
Denmark,Interior,Kaare Dybvad,21 January 2021,2 May 2022,1984-08-05,,,Q20175887
Denmark,Interior,Christian Rabjerg Madsen,2 May 2022,15 December 2022,1986-03-24,,,Q17580253
Denmark,Interior,Sophie Løhde,15 December 2022,Incumbent,1983-09-11,,,Q12336452
