country,portfolio,name,start_date,end_date
Denmark,Interior,"Jacob Sørensen","19 December 1973","13 February 1975"
Denmark,Interior,"Egon Jensen","13 February 1975","30 August 1978"
Denmark,Interior,"Knud Enggaard","30 August 1978","26 October 1979"
Denmark,Interior,"Henning Rasmussen","26 October 1979","10 September 1982"
Denmark,Interior,"Britta Schall Holberg","10 September 1982","12 March 1986"
Denmark,Interior,"Knud Enggaard","12 March 1986","10 September 1987"
Denmark,Interior,"Thor Pedersen","10 September 1987","25 January 1993"
Denmark,Interior,"Birte Weiss","25 January 1993","20 October 1997"
Denmark,Interior,"Thorkild Simonsen","20 October 1997","23 February 2000"
Denmark,Interior,"Karen Jespersen","23 February 2000","27 November 2001"
Denmark,Interior,"Lars Løkke Rasmussen","27 November 2001","23 November 2007"
Denmark,Interior,"Karen Ellemann","7 April 2009","23 February 2010"
Denmark,Interior,"Bertel Haarder","23 February 2010","3 October 2011"
Denmark,Interior,"Margrethe Vestager","3 October 2011","2 September 2014"
Denmark,Interior,"Morten Østergaard","2 September 2014","28 June 2015"
Denmark,Interior,"Karen Ellemann","28 June 2015","28 November 2016"
Denmark,Interior,"Simon Emil Ammitzbøll-Bille","28 November 2016","27 June 2019"
Denmark,Interior,"Astrid Krag","27 June 2019","21 January 2021"
Denmark,Interior,"Kaare Dybvad","21 January 2021","2 May 2022"
Denmark,Interior,"Christian Rabjerg Madsen","2 May 2022","15 December 2022"
Denmark,Interior,"Sophie Løhde","15 December 2022","Incumbent"
