country,portfolio,name,start_date,end_date,dob,dod,cause_of_death,wikidata_id
Denmark,Transport,Kresten Damsgaard,19 December 1973,13 February 1975,1923-12-02,1994-02-15,,Q1798340
Denmark,Transport,Niels Matthiasen,13 February 1975,26 February 1977,,,,Q6787173
Denmark,Transport,Kjeld Olesen,26 February 1977,30 August 1978,1932-07-08,2024-07-25,,Q323762
Denmark,Transport,Ivar Hansen,30 August 1978,26 October 1979,1938-11-01,2003-03-11,,Q3368105
Denmark,Transport,Jens Risgaard Knudsen,26 October 1979,15 October 1981,1932-09-26,2025-01-08,,Q12322307
Denmark,Transport,Knud Heinesen,15 October 1981,30 December 1981,1932-09-26,2025-01-08,,Q12322307
Denmark,Transport,Jens Kristian Hansen,30 December 1981,10 September 1982,1971-09-03,,,Q2489854
Denmark,Transport,Arne Melchior,10 September 1982,14 August 1986,1924-10-22,2016-09-24,,Q4357060
Denmark,Transport,Frode Nør Christensen,14 August 1986,3 June 1988,1924-10-22,2016-09-24,,Q4357060
Denmark,Transport,Hans Peter Clausen,3 June 1988,10 January 1989,,,,Q6568504
Denmark,Transport,Knud Østergaard,10 January 1989,18 December 1990,,,,Q819136
Denmark,Transport,Kaj Ikast,18 December 1990,25 January 1993,1935-12-05,2020-12-03,,Q1029520
Denmark,Transport,Helge Mortensen,25 January 1993,28 January 1994,,,,Q3276137
Denmark,Transport,Jan Trøjborg,28 January 1994,30 December 1996,1955-12-14,2012-05-06,myocardial infarction,Q1521470
Denmark,Transport,Bjørn Westh,30 December 1996,23 March 1998,1944-02-02,,,Q1530706
Denmark,Transport,Sonja Mikkelsen,23 March 1998,23 February 2000,1955-06-20,,,Q3735271
Denmark,Transport,Jacob Buksti,23 February 2000,27 November 2001,1947-04-07,2016-09-27,,Q4141217
Denmark,Transport,Flemming Hansen,27 November 2001,12 September 2007,,,,Q5458649
Denmark,Transport,Jakob Axel Nielsen,12 September 2007,23 November 2007,1967-04-12,,,Q3160663
Denmark,Transport,Carina Christensen,23 November 2007,10 September 2008,1972-11-08,,,Q460619
Denmark,Transport,Lars Barfoed,10 September 2008,23 February 2010,1957-07-04,,,Q917179
Denmark,Transport,Hans Christian Schmidt,23 February 2010,3 October 2011,1953-08-25,,,Q1579014
Denmark,Transport,Henrik Dam Kristensen,3 October 2011,9 August 2013,1957-01-31,,,Q1358896
Denmark,Transport,Pia Olsen Dyhr,9 August 2013,3 February 2014,1971-11-30,,,Q531614
Denmark,Transport,Magnus Heunicke,3 February 2014,28 June 2015,1975-01-28,,,Q12325727
Denmark,Transport,Hans Christian Schmidt,28 June 2015,28 November 2016,1953-08-25,,,Q1579014
Denmark,Transport,Ole Birk Olesen,28 November 2016,27 June 2019,1972-12-21,,,Q12330024
Denmark,Transport,Benny Engelbrecht,27 June 2019,4 February 2022,1970-08-04,,,Q12303134
Denmark,Transport,Trine Bramsen,4 February 2022,15 December 2022,1981-03-26,,,Q12339763
Denmark,Transport,Thomas Danielsen,15 December 2022,Present,1983-06-24,,,Q12343109
