country,portfolio,name,start_date,end_date
Denmark,Transport,Kresten Damsgaard,19 December 1973,13 February 1975
Denmark,Transport,Niels Matthiasen,13 February 1975,26 February 1977
Denmark,Transport,Kjeld Olesen,26 February 1977,30 August 1978
Denmark,Transport,Ivar Hansen,30 August 1978,26 October 1979
Denmark,Transport,Jens Risgaard Knudsen,26 October 1979,15 October 1981
Denmark,Transport,Knud Heinesen,15 October 1981,30 December 1981
Denmark,Transport,Jens Kristian Hansen,30 December 1981,10 September 1982
Denmark,Transport,Arne Melchior,10 September 1982,14 August 1986
Denmark,Transport,Frode Nør Christensen,14 August 1986,3 June 1988
Denmark,Transport,Hans Peter Clausen,3 June 1988,10 January 1989
Denmark,Transport,Knud Østergaard,10 January 1989,18 December 1990
Denmark,Transport,Kaj Ikast,18 December 1990,25 January 1993
Denmark,Transport,Helge Mortensen,25 January 1993,28 January 1994
Denmark,Transport,Jan Trøjborg,28 January 1994,30 December 1996
Denmark,Transport,Bjørn Westh,30 December 1996,23 March 1998
Denmark,Transport,Sonja Mikkelsen,23 March 1998,23 February 2000
Denmark,Transport,Jacob Buksti,23 February 2000,27 November 2001
Denmark,Transport,Flemming Hansen,27 November 2001,12 September 2007
Denmark,Transport,Jakob Axel Nielsen,12 September 2007,23 November 2007
Denmark,Transport,Carina Christensen,23 November 2007,10 September 2008
Denmark,Transport,Lars Barfoed,10 September 2008,23 February 2010
Denmark,Transport,Hans Christian Schmidt,23 February 2010,3 October 2011
Denmark,Transport,Henrik Dam Kristensen,3 October 2011,9 August 2013
Denmark,Transport,Pia Olsen Dyhr,9 August 2013,3 February 2014
Denmark,Transport,Magnus Heunicke,3 February 2014,28 June 2015
Denmark,Transport,Hans Christian Schmidt,28 June 2015,28 November 2016
Denmark,Transport,Ole Birk Olesen,28 November 2016,27 June 2019
Denmark,Transport,Benny Engelbrecht,27 June 2019,4 February 2022
Denmark,Transport,Trine Bramsen,4 February 2022,15 December 2022
Denmark,Transport,Thomas Danielsen,15 December 2022,Present
