country,portfolio,name,start_date,end_date,dob,dod,cause_of_death,wikidata_id
France,Defense,Yvon Bourges,31 January 1975,2 October 1980,1921-06-29,2009-04-18,,Q764381
France,Defense,Joël Le Theule,2 October 1980,22 December 1980,1930-03-22,1980-12-14,,Q728906
France,Defense,Robert Galley,22 December 1980,22 May 1981,1921-01-11,2012-06-08,,Q345888
France,Defense,Charles Hernu,22 May 1981,20 September 1985,1923-07-03,1990-01-17,,Q670809
France,Defense,Paul Quilès,20 September 1985,20 March 1986,1942-01-27,2021-09-24,,Q3372063
France,Defense,André Giraud,20 March 1986,12 May 1988,1879-01-18,1949-03-11,,Q318122
France,Defense,Jean-Pierre Chevènement,12 May 1988,29 January 1991,1939-03-09,,,Q736502
France,Defense,Pierre Joxe,29 January 1991,9 March 1993,1934-11-28,,,Q977974
France,Defense,Pierre Bérégovoy,9 March 1993,30 March 1993,1925-12-23,1993-05-01,gunshot wound,Q298355
France,Defense,François Léotard,30 March 1993,18 May 1995,1942-03-26,2023-04-25,,Q1394083
France,Defense,Charles Millon,18 May 1995,4 June 1997,1945-11-12,,,Q2368327
France,Defense,Alain Richard,4 June 1997,7 May 2002,1945-08-29,,,Q930418
France,Defense,Michèle Alliot-Marie,7 May 2002,18 May 2007,1946-09-10,,,Q58130
France,Defense,Hervé Morin,18 May 2007,14 November 2010,1961-08-17,,,Q521021
France,Defense,Alain Juppé,14 November 2010,27 February 2011,1945-08-15,,,Q215569
France,Defense,Gérard Longuet,27 February 2011,16 May 2012,1946-02-24,,,Q1360173
France,Defense,Jean-Yves Le Drian,16 May 2012,17 May 2017,1947-06-30,,,Q559040
France,Defense,Sylvie Goulard,17 May 2017,21 June 2017,1964-12-06,,,Q247924
France,Defense,Florence Parly,21 June 2017,20 May 2022,1963-05-08,,,Q3074013
France,Defense,Sébastien Lecornu,20 May 2022,5 October 2025,1986-06-11,,,Q20089181
France,Defense,Bruno Le Maire,5 October 2025,6 October 2025,1969-04-15,,,Q993472
France,Defense,Sébastien Lecornu,6 October 2025,12 October 2025,1986-06-11,,,Q20089181
France,Defense,Catherine Vautrin,12 October 2025,Incumbent,1960-07-26,,,Q2942097
