country,portfolio,name,start_date,end_date
France,Defense,Yvon Bourges,31 January 1975,2 October 1980
France,Defense,Joël Le Theule,2 October 1980,22 December 1980
France,Defense,Robert Galley,22 December 1980,22 May 1981
France,Defense,Charles Hernu,22 May 1981,20 September 1985
France,Defense,Paul Quilès,20 September 1985,20 March 1986
France,Defense,André Giraud,20 March 1986,12 May 1988
France,Defense,Jean-Pierre Chevènement,12 May 1988,29 January 1991
France,Defense,Pierre Joxe,29 January 1991,9 March 1993
France,Defense,Pierre Bérégovoy,9 March 1993,30 March 1993
France,Defense,François Léotard,30 March 1993,18 May 1995
France,Defense,Charles Millon,18 May 1995,4 June 1997
France,Defense,Alain Richard,4 June 1997,7 May 2002
France,Defense,Michèle Alliot-Marie,7 May 2002,18 May 2007
France,Defense,Hervé Morin,18 May 2007,14 November 2010
France,Defense,Alain Juppé,14 November 2010,27 February 2011
France,Defense,Gérard Longuet,27 February 2011,16 May 2012
France,Defense,Jean-Yves Le Drian,16 May 2012,17 May 2017
France,Defense,Sylvie Goulard,17 May 2017,21 June 2017
France,Defense,Florence Parly,21 June 2017,20 May 2022
France,Defense,Sébastien Lecornu,20 May 2022,5 October 2025
France,Defense,Bruno Le Maire,5 October 2025,6 October 2025
France,Defense,Sébastien Lecornu,6 October 2025,12 October 2025
France,Defense,Catherine Vautrin,12 October 2025,Incumbent
