country,portfolio,name,start_date,end_date,dob,dod,cause_of_death,wikidata_id
France,Finance,Jean-Pierre Fourcade,28 May 1974,27 August 1976,1929-10-18,,,Q1685206
France,Finance,Raymond Barre,27 August 1976,5 April 1978,1924-04-12,2007-08-25,myocardial infarction,Q12957
France,Finance,René Monory,5 April 1978,22 May 1981,1923-06-06,2009-04-11,disease,Q697358
France,Finance,Jacques Delors,22 May 1981,19 July 1984,1925-07-20,2023-12-27,,Q153425
France,Finance,Pierre Bérégovoy,19 July 1984,20 March 1986,1925-12-23,1993-05-01,gunshot wound,Q298355
France,Finance,Édouard Balladur,20 March 1986,12 May 1988,1929-05-02,,,Q12959
France,Finance,Pierre Bérégovoy,12 May 1988,2 April 1992,1925-12-23,1993-05-01,gunshot wound,Q298355
France,Finance,Michel Sapin,2 April 1992,29 March 1993,1952-04-09,,,Q713296
France,Finance,Edmond Alphandéry,29 March 1993,18 May 1995,1943-09-02,,,Q3047730
France,Finance,Alain Madelin,18 May 1995,25 August 1995,1946-03-26,,,Q582101
France,Finance,Jean Arthuis,25 August 1995,4 June 1997,1944-10-07,,,Q528462
France,Finance,Dominique Strauss-Kahn,4 June 1997,2 November 1999,1949-04-25,,,Q385437
France,Finance,Christian Sautter,2 November 1999,28 March 2000,1940-04-09,,,Q2965623
France,Finance,Laurent Fabius,28 March 2000,7 May 2002,1946-08-20,,,Q217070
France,Finance,Francis Mer,7 May 2002,31 March 2004,1939-05-25,2023-11-01,,Q64662
France,Finance,Nicolas Sarkozy,31 March 2004,28 November 2004,1955-01-28,,,Q329
France,Finance,Hervé Gaymard,30 November 2004,25 February 2005,1960-05-31,,,Q182786
France,Finance,Thierry Breton,25 February 2005,18 May 2007,1955-01-15,,,Q2142823
France,Finance,Jean-Louis Borloo,18 May 2007,19 June 2007,1951-04-07,,,Q467781
France,Finance,Christine Lagarde,19 June 2007,29 June 2011,1956-01-01,,,Q484605
France,Finance,François Baroin,29 June 2011,15 May 2012,1965-06-21,,,Q736013
France,Finance,Pierre Moscovici,16 May 2012,31 March 2014,1957-09-16,,,Q356919
France,Finance,Michel Sapin,2 April 2014,17 May 2017,1952-04-09,,,Q713296
France,Finance,Bruno Le Maire,17 May 2017,21 September 2024,1969-04-15,,,Q993472
France,Finance,Antoine Armand,21 September 2024,23 December 2024,1991-09-10,,,Q63436533
France,Finance,Éric Lombard,23 December 2024,5 October 2025,1958-05-16,,,Q45192006
France,Finance,Roland Lescure,5 October 2025,Incumbent,1966-11-26,,,Q30130489
