country,portfolio,name,start_date,end_date
France,Finance,Jean-Pierre Fourcade,28 May 1974,27 August 1976
France,Finance,Raymond Barre,27 August 1976,5 April 1978
France,Finance,René Monory,5 April 1978,22 May 1981
France,Finance,Jacques Delors,22 May 1981,19 July 1984
France,Finance,Pierre Bérégovoy,19 July 1984,20 March 1986
France,Finance,Édouard Balladur,20 March 1986,12 May 1988
France,Finance,Pierre Bérégovoy,12 May 1988,2 April 1992
France,Finance,Michel Sapin,2 April 1992,29 March 1993
France,Finance,Edmond Alphandéry,29 March 1993,18 May 1995
France,Finance,Alain Madelin,18 May 1995,25 August 1995
France,Finance,Jean Arthuis,25 August 1995,4 June 1997
France,Finance,Dominique Strauss-Kahn,4 June 1997,2 November 1999
France,Finance,Christian Sautter,2 November 1999,28 March 2000
France,Finance,Laurent Fabius,28 March 2000,7 May 2002
France,Finance,Francis Mer,7 May 2002,31 March 2004
France,Finance,Nicolas Sarkozy,31 March 2004,28 November 2004
France,Finance,Hervé Gaymard,30 November 2004,25 February 2005
France,Finance,Thierry Breton,25 February 2005,18 May 2007
France,Finance,Jean-Louis Borloo,18 May 2007,19 June 2007
France,Finance,Christine Lagarde,19 June 2007,29 June 2011
France,Finance,François Baroin,29 June 2011,15 May 2012
France,Finance,Pierre Moscovici,16 May 2012,31 March 2014
France,Finance,Michel Sapin,2 April 2014,17 May 2017
France,Finance,Bruno Le Maire,17 May 2017,21 September 2024
France,Finance,Antoine Armand,21 September 2024,23 December 2024
France,Finance,Éric Lombard,23 December 2024,5 October 2025
France,Finance,Roland Lescure,5 October 2025,Incumbent
