country,portfolio,name,start_date,end_date,dob,dod,cause_of_death,wikidata_id
France,Health,Simone Veil,1974-05-28,1979-07-04,1927-07-13,2017-06-30,,Q298180
France,Health,Jacques Barrot,1979-07-04,1981-05-22,1937-02-03,2014-12-03,,Q455040
France,Health,Edmond Hervé,1981-05-22,1981-06-23,1942-12-03,,,Q329044
France,Health,Jack Ralite,1981-06-23,1983-03-24,1928-05-14,2017-11-12,respiratory failure,Q3157296
France,Health,Pierre Bérégovoy,1983-03-24,1984-07-19,1925-12-23,1993-05-01,gunshot wound,Q298355
France,Health,Georgina Dufoix,1984-07-19,1986-03-20,1942-02-16,,,Q3103788
France,Health,Michèle Barzach,1986-03-20,1988-05-12,,,,Q2081226
France,Health,Claude Évin,1988-05-12,1991-05-16,1949-06-29,,,Q2978384
France,Health,Jean-Louis Bianco,1991-05-16,1992-04-04,1943-01-12,,,Q1031645
France,Health,Bernard Kouchner,1992-04-04,1993-03-30,1939-11-01,,,Q206327
France,Health,Simone Veil,1993-03-30,1995-05-18,1927-07-13,2017-06-30,,Q298180
France,Health,Élisabeth Hubert,1995-05-18,1995-11-07,1956-05-26,,,Q528621
France,Health,Jacques Barrot,1995-11-07,1997-06-04,1937-02-03,2014-12-03,,Q455040
France,Health,Martine Aubry,1997-06-04,2000-10-18,1950-08-08,,,Q228977
France,Health,Élisabeth Guigou,2000-10-18,2002-05-07,1946-08-06,,,Q274689
France,Health,Jean-François Mattéi,2002-05-07,2004-03-31,1941-03-09,2014-03-24,,Q3165774
France,Health,Philippe Douste-Blazy,2004-03-31,2005-06-02,1953-01-01,,,Q366016
France,Health,Xavier Bertrand,2005-06-02,2007-03-26,1965-03-21,,,Q203793
France,Health,Philippe Bas,2007-03-26,2007-05-18,,,,Q1716838
France,Health,Roselyne Bachelot-Narquin,2007-05-18,2010-11-14,1946-12-24,,,Q436173
France,Health,Xavier Bertrand,2010-11-14,2012-05-16,1965-03-21,,,Q203793
France,Health,Marisol Touraine,2012-05-16,2017-05-17,1959-03-07,,,Q270094
France,Health,Agnès Buzyn,2017-05-17,2020-02-16,1962-11-01,,,Q2826971
France,Health,Olivier Véran,2020-02-16,2022-05-20,1980-04-22,,,Q3332699
France,Health,Brigitte Bourguignon,2022-05-20,2022-07-04,1959-03-21,,,Q2925411
France,Health,François Braun,2022-07-04,2023-07-20,1962-08-24,,,Q112289951
France,Health,Aurélien Rousseau,2023-07-20,2023-12-20,1976-06-25,,,Q29738515
France,Health,Agnès Firmin-Le Bodo,2023-12-20,2024-01-11,1968-11-20,,,Q30349300
France,Health,Catherine Vautrin,2024-01-11,2024-09-21,1960-07-26,,,Q2942097
France,Health,Geneviève Darrieussecq,2024-09-21,2025-10-12,1956-03-04,,,Q3100615
France,Health,Stéphanie Rist,2025-10-12,Incumbent,1973-08-06,,,Q30339281
