country,portfolio,name,start_date,end_date
France,Health,Simone Veil,1974-05-28,1979-07-04
France,Health,Jacques Barrot,1979-07-04,1981-05-22
France,Health,Edmond Hervé,1981-05-22,1981-06-23
France,Health,Jack Ralite,1981-06-23,1983-03-24
France,Health,Pierre Bérégovoy,1983-03-24,1984-07-19
France,Health,Georgina Dufoix,1984-07-19,1986-03-20
France,Health,Michèle Barzach,1986-03-20,1988-05-12
France,Health,Claude Évin,1988-05-12,1991-05-16
France,Health,Jean-Louis Bianco,1991-05-16,1992-04-04
France,Health,Bernard Kouchner,1992-04-04,1993-03-30
France,Health,Simone Veil,1993-03-30,1995-05-18
France,Health,Élisabeth Hubert,1995-05-18,1995-11-07
France,Health,Jacques Barrot,1995-11-07,1997-06-04
France,Health,Martine Aubry,1997-06-04,2000-10-18
France,Health,Élisabeth Guigou,2000-10-18,2002-05-07
France,Health,Jean-François Mattéi,2002-05-07,2004-03-31
France,Health,Philippe Douste-Blazy,2004-03-31,2005-06-02
France,Health,Xavier Bertrand,2005-06-02,2007-03-26
France,Health,Philippe Bas,2007-03-26,2007-05-18
France,Health,Roselyne Bachelot-Narquin,2007-05-18,2010-11-14
France,Health,Xavier Bertrand,2010-11-14,2012-05-16
France,Health,Marisol Touraine,2012-05-16,2017-05-17
France,Health,Agnès Buzyn,2017-05-17,2020-02-16
France,Health,Olivier Véran,2020-02-16,2022-05-20
France,Health,Brigitte Bourguignon,2022-05-20,2022-07-04
France,Health,François Braun,2022-07-04,2023-07-20
France,Health,Aurélien Rousseau,2023-07-20,2023-12-20
France,Health,Agnès Firmin-Le Bodo,2023-12-20,2024-01-11
France,Health,Catherine Vautrin,2024-01-11,2024-09-21
France,Health,Geneviève Darrieussecq,2024-09-21,2025-10-12
France,Health,Stéphanie Rist,2025-10-12,Incumbent
