country,portfolio,name,start_date,end_date,dob,dod,cause_of_death,wikidata_id
France,Interior,Michel Poniatowski,1974-05-28,1977-03-30,1922-05-16,2002-01-15,,Q3310623
France,Interior,Christian Bonnet,1977-03-30,1981-05-22,1921-06-14,2020-04-07,,Q2965060
France,Interior,Gaston Defferre,1981-05-22,1984-07-19,1910-09-14,1986-05-07,,Q608815
France,Interior,Pierre Joxe,1984-07-19,1986-03-20,1934-11-28,,,Q977974
France,Interior,Charles Pasqua,1986-03-20,1988-05-12,1927-04-18,2015-06-29,myocardial infarction,Q725609
France,Interior,Pierre Joxe,1988-05-12,1991-01-29,1934-11-28,,,Q977974
France,Interior,Philippe Marchand,1991-01-29,1992-04-02,1939-09-01,2018-01-10,cancer,Q3380313
France,Interior,Paul Quilès,1992-04-02,1993-03-29,1942-01-27,2021-09-24,,Q3372063
France,Interior,Charles Pasqua,1993-03-29,1995-05-18,1927-04-18,2015-06-29,myocardial infarction,Q725609
France,Interior,Jean-Louis Debré,1995-05-18,1997-06-04,1944-09-30,2025-03-04,,Q713235
France,Interior,Jean-Pierre Chevènement,1997-06-04,2000-08-29,1939-03-09,,,Q736502
France,Interior,Daniel Vaillant,2000-08-29,2002-05-07,1949-07-19,,,Q1905371
France,Interior,Nicolas Sarkozy,2002-05-07,2004-03-31,1955-01-28,,,Q329
France,Interior,Dominique de Villepin,2004-03-31,2005-05-31,1953-11-14,,,Q131660
France,Interior,Nicolas Sarkozy,2005-05-31,2007-03-26,1955-01-28,,,Q329
France,Interior,François Baroin,2007-03-26,2007-05-15,1965-06-21,,,Q736013
France,Interior,Michèle Alliot-Marie,2007-05-18,2009-06-23,1946-09-10,,,Q58130
France,Interior,Brice Hortefeux,2009-06-23,2011-02-27,1958-05-11,,,Q502972
France,Interior,Claude Guéant,2011-02-27,2012-05-16,1945-01-17,,,Q528581
France,Interior,Manuel Valls,2012-05-16,2014-03-31,1962-08-13,,,Q10287
France,Interior,Bernard Cazeneuve,2014-03-31,2016-12-06,1963-06-02,,,Q560890
France,Interior,Bruno Le Roux,2016-12-06,2017-03-21,1965-05-02,,,Q2926861
France,Interior,Matthias Fekl,2017-03-21,2017-05-17,1977-10-04,,,Q3299831
France,Interior,Gérard Collomb,2017-05-17,2018-10-03,1947-06-20,2023-11-25,stomach cancer,Q12956
France,Interior,Édouard Philippe,2018-10-03,2018-10-16,1970-11-28,,,Q3579995
France,Interior,Christophe Castaner,2018-10-16,2020-07-06,1966-01-03,,,Q1726930
France,Interior,Gérald Darmanin,2020-07-06,2024-09-21,1982-10-11,,,Q3123610
France,Interior,Bruno Retailleau,2024-09-21,2025-10-12,1960-11-20,,,Q2926942
France,Interior,Laurent Nuñez,2025-10-12,Incumbent,1964-02-19,,,Q30729111
