country,portfolio,name,start_date,end_date
France,Interior,Michel Poniatowski,1974-05-28,1977-03-30
France,Interior,Christian Bonnet,1977-03-30,1981-05-22
France,Interior,Gaston Defferre,1981-05-22,1984-07-19
France,Interior,Pierre Joxe,1984-07-19,1986-03-20
France,Interior,Charles Pasqua,1986-03-20,1988-05-12
France,Interior,Pierre Joxe,1988-05-12,1991-01-29
France,Interior,Philippe Marchand,1991-01-29,1992-04-02
France,Interior,Paul Quilès,1992-04-02,1993-03-29
France,Interior,Charles Pasqua,1993-03-29,1995-05-18
France,Interior,Jean-Louis Debré,1995-05-18,1997-06-04
France,Interior,Jean-Pierre Chevènement,1997-06-04,2000-08-29
France,Interior,Daniel Vaillant,2000-08-29,2002-05-07
France,Interior,Nicolas Sarkozy,2002-05-07,2004-03-31
France,Interior,Dominique de Villepin,2004-03-31,2005-05-31
France,Interior,Nicolas Sarkozy,2005-05-31,2007-03-26
France,Interior,François Baroin,2007-03-26,2007-05-15
France,Interior,Michèle Alliot-Marie,2007-05-18,2009-06-23
France,Interior,Brice Hortefeux,2009-06-23,2011-02-27
France,Interior,Claude Guéant,2011-02-27,2012-05-16
France,Interior,Manuel Valls,2012-05-16,2014-03-31
France,Interior,Bernard Cazeneuve,2014-03-31,2016-12-06
France,Interior,Bruno Le Roux,2016-12-06,2017-03-21
France,Interior,Matthias Fekl,2017-03-21,2017-05-17
France,Interior,Gérard Collomb,2017-05-17,2018-10-03
France,Interior,Édouard Philippe,2018-10-03,2018-10-16
France,Interior,Christophe Castaner,2018-10-16,2020-07-06
France,Interior,Gérald Darmanin,2020-07-06,2024-09-21
France,Interior,Bruno Retailleau,2024-09-21,2025-10-12
France,Interior,Laurent Nuñez,2025-10-12,Incumbent
