country,portfolio,name,start_date,end_date,dob,dod,cause_of_death,wikidata_id
France,Transport,Philippe Tabarot,2024-12-23,Incumbent,1970-11-25,,,Q63371158
France,Transport,François Durovray,2024-09-21,2024-12-23,1971-03-04,,,Q18202487
France,Transport,Patrice Vergriete,2024-02-08,2024-09-21,1968-07-04,,,Q16669152
France,Transport,Clément Beaune,2022-07-04,2024-01-11,1981-08-14,,,Q33172434
France,Transport,Jean-Baptiste Djebbari,2019-09-03,2022-05-20,1982-02-26,,,Q30343005
France,Transport,Elisabeth Borne,2017-05-17,2019-07-16,1961-04-18,,,Q20020731
France,Transport,Alain Vidalies,2014-08-26,2017-05-10,1951-03-17,,,Q1393874
France,Transport,Frédéric Cuvillier,2012-05-16,2014-08-25,1968-12-09,,,Q731629
France,Transport,Thierry Mariani,2010-11-14,2012-05-10,1958-08-08,,,Q63655
France,Transport,Dominique Bussereau,2007-05-18,2010-11-13,1952-07-13,,,Q63628
France,Transport,Dominique Perben,2005-06-02,2007-05-15,1945-08-11,,,Q63618
France,Transport,Gilles de Robien,2002-05-07,2005-05-31,1941-04-10,,,Q798242
France,Transport,Jean-Claude Gayssot,1997-06-04,2002-05-07,1944-09-06,,,Q2276307
France,Transport,Bernard Pons,1995-05-18,1997-06-04,1926-07-18,2022-04-27,,Q2898459
France,Transport,Bernard Bosson,1993-03-30,1995-05-18,1948-02-25,2017-05-13,cancer,Q2897580
France,Transport,Jean-Louis Bianco,1992-04-04,1993-03-30,1943-01-12,,,Q1031645
France,Transport,Paul Quilès,1991-05-16,1992-04-04,1942-01-27,2021-09-24,,Q3372063
France,Transport,Louis Besson,1990-12-21,1991-05-16,1937-05-06,,,Q3261257
France,Transport,Michel Delebarre,1988-06-28,1990-12-21,1946-04-27,2022-04-09,,Q129774
France,Transport,Louis Mermaz,1988-05-12,1988-06-28,1931-08-20,2024-08-15,,Q976492
France,Transport,Pierre Méhaignerie,1986-03-20,1988-05-10,1939-05-04,,,Q895873
France,Transport,Jean Auroux,1985-09-20,1986-03-20,1942-09-19,,,Q3170464
France,Transport,Paul Quilès,1984-07-19,1985-09-20,1942-01-27,2021-09-24,,Q3372063
France,Transport,Charles Fiterman,1981-06-23,1984-07-19,1933-12-28,,,Q2959067
France,Transport,Louis Mermaz,1981-05-22,1981-06-23,1931-08-20,2024-08-15,,Q976492
France,Transport,Daniel Hoeffel,1980-10-02,1981-05-22,1929-01-23,2025-10-14,,Q3014177
France,Transport,Joël Le Theule,1978-04-05,1980-10-02,1930-03-22,1980-12-14,,Q728906
France,Transport,Marcel Cavaillé,1974-05-28,1978-04-06,,,,Q60847808
