country,portfolio,name,start_date,end_date
France,Transport,Philippe Tabarot,2024-12-23,Incumbent
France,Transport,François Durovray,2024-09-21,2024-12-23
France,Transport,Patrice Vergriete,2024-02-08,2024-09-21
France,Transport,Clément Beaune,2022-07-04,2024-01-11
France,Transport,Jean-Baptiste Djebbari,2019-09-03,2022-05-20
France,Transport,Elisabeth Borne,2017-05-17,2019-07-16
France,Transport,Alain Vidalies,2014-08-26,2017-05-10
France,Transport,Frédéric Cuvillier,2012-05-16,2014-08-25
France,Transport,Thierry Mariani,2010-11-14,2012-05-10
France,Transport,Dominique Bussereau,2007-05-18,2010-11-13
France,Transport,Dominique Perben,2005-06-02,2007-05-15
France,Transport,Gilles de Robien,2002-05-07,2005-05-31
France,Transport,Jean-Claude Gayssot,1997-06-04,2002-05-07
France,Transport,Bernard Pons,1995-05-18,1997-06-04
France,Transport,Bernard Bosson,1993-03-30,1995-05-18
France,Transport,Jean-Louis Bianco,1992-04-04,1993-03-30
France,Transport,Paul Quilès,1991-05-16,1992-04-04
France,Transport,Louis Besson,1990-12-21,1991-05-16
France,Transport,Michel Delebarre,1988-06-28,1990-12-21
France,Transport,Louis Mermaz,1988-05-12,1988-06-28
France,Transport,Pierre Méhaignerie,1986-03-20,1988-05-10
France,Transport,Jean Auroux,1985-09-20,1986-03-20
France,Transport,Paul Quilès,1984-07-19,1985-09-20
France,Transport,Charles Fiterman,1981-06-23,1984-07-19
France,Transport,Louis Mermaz,1981-05-22,1981-06-23
France,Transport,Daniel Hoeffel,1980-10-02,1981-05-22
France,Transport,Joël Le Theule,1978-04-05,1980-10-02
France,Transport,Marcel Cavaillé,1974-05-28,1978-04-06
