country,portfolio,name,start_date,end_date,dob,dod,cause_of_death,wikidata_id
Germany,Defense,Georg Leber,7 July 1972,16 February 1978,1920-10-07,2012-08-21,,Q62237
Germany,Defense,Hans Apel,17 February 1978,1 October 1982,1932-02-25,2011-09-06,disease,Q65561
Germany,Defense,Manfred Wörner,4 October 1982,18 May 1988,1934-09-24,1994-08-13,colorectal cancer,Q60777
Germany,Defense,Rupert Scholz,18 May 1988,21 April 1989,1937-05-23,,,Q69112
Germany,Defense,Gerhard Stoltenberg,21 April 1989,31 March 1992,1928-09-29,2001-11-23,,Q62214
Germany,Defense,Volker Rühe,1 April 1992,26 October 1998,1942-09-25,,,Q84388
Germany,Defense,Rudolf Scharping,27 October 1998,19 July 2002,1947-12-02,,,Q61321
Germany,Defense,Peter Struck,19 July 2002,22 November 2005,,,,Q107371047
Germany,Defense,Franz Josef Jung,22 November 2005,28 October 2009,1949-03-05,,,Q57505
Germany,Defense,Karl-Theodor zu Guttenberg,28 October 2009,3 March 2011,1971-12-05,,,Q76924
Germany,Defense,Thomas de Maizière,3 March 2011,17 December 2013,1954-01-21,,,Q57364
Germany,Defense,Ursula von der Leyen,17 December 2013,17 July 2019,1958-10-08,,,Q60772
Germany,Defense,Annegret Kramp-Karrenbauer,17 July 2019,8 December 2021,1962-08-09,,,Q71359
Germany,Defense,Christine Lambrecht,8 December 2021,19 January 2023,1965-06-19,,,Q1083648
Germany,Defense,Boris Pistorius,19 January 2023,Incumbent,1960-03-14,,,Q893758
