country,portfolio,name,start_date,end_date
Germany,Defense,Georg Leber,7 July 1972,16 February 1978
Germany,Defense,Hans Apel,17 February 1978,1 October 1982
Germany,Defense,Manfred Wörner,4 October 1982,18 May 1988
Germany,Defense,Rupert Scholz,18 May 1988,21 April 1989
Germany,Defense,Gerhard Stoltenberg,21 April 1989,31 March 1992
Germany,Defense,Volker Rühe,1 April 1992,26 October 1998
Germany,Defense,Rudolf Scharping,27 October 1998,19 July 2002
Germany,Defense,Peter Struck,19 July 2002,22 November 2005
Germany,Defense,Franz Josef Jung,22 November 2005,28 October 2009
Germany,Defense,Karl-Theodor zu Guttenberg,28 October 2009,3 March 2011
Germany,Defense,Thomas de Maizière,3 March 2011,17 December 2013
Germany,Defense,Ursula von der Leyen,17 December 2013,17 July 2019
Germany,Defense,Annegret Kramp-Karrenbauer,17 July 2019,8 December 2021
Germany,Defense,Christine Lambrecht,8 December 2021,19 January 2023
Germany,Defense,Boris Pistorius,19 January 2023,Incumbent
