country,portfolio,name,start_date,end_date,dob,dod,cause_of_death,wikidata_id
Germany,Finance,Hans Apel,16 May 1974,15 February 1978,1932-02-25,2011-09-06,disease,Q65561
Germany,Finance,Hans Matthöfer,16 February 1978,28 April 1982,1925-09-25,2009-11-15,,Q65556
Germany,Finance,Manfred Lahnstein,28 April 1982,1 October 1982,1937-12-20,,,Q69133
Germany,Finance,Gerhard Stoltenberg,4 October 1982,21 April 1989,1928-09-29,2001-11-23,,Q62214
Germany,Finance,Theodor Waigel,21 April 1989,27 October 1998,1939-04-22,,,Q62077
Germany,Finance,Oskar Lafontaine,27 October 1998,18 March 1999,1943-09-16,,,Q110719
Germany,Finance,Werner Müller,18 March 1999,12 April 1999,,,,Q2562105
Germany,Finance,Hans Eichel,12 April 1999,22 November 2005,1941-12-24,,,Q62180
Germany,Finance,Peer Steinbrück,22 November 2005,28 October 2009,1947-01-10,,,Q49328
Germany,Finance,Wolfgang Schäuble,28 October 2009,24 October 2017,1942-09-18,2023-12-26,cancer,Q16019
Germany,Finance,Peter Altmaier,24 October 2017,14 March 2018,1958-06-18,,,Q65539
Germany,Finance,Olaf Scholz,14 March 2018,8 December 2021,1958-06-14,,,Q61053
Germany,Finance,Christian Lindner,8 December 2021,7 November 2024,1979-01-07,,,Q85806
Germany,Finance,Jörg Kukies,7 November 2024,6 May 2025,1968-02-21,,,Q50807721
Germany,Finance,Lars Klingbeil,6 May 2025,Incumbent,1978-02-23,,,Q1806261
