country,portfolio,name,start_date,end_date
Germany,Finance,Hans Apel,16 May 1974,15 February 1978
Germany,Finance,Hans Matthöfer,16 February 1978,28 April 1982
Germany,Finance,Manfred Lahnstein,28 April 1982,1 October 1982
Germany,Finance,Gerhard Stoltenberg,4 October 1982,21 April 1989
Germany,Finance,Theodor Waigel,21 April 1989,27 October 1998
Germany,Finance,Oskar Lafontaine,27 October 1998,18 March 1999
Germany,Finance,Werner Müller,18 March 1999,12 April 1999
Germany,Finance,Hans Eichel,12 April 1999,22 November 2005
Germany,Finance,Peer Steinbrück,22 November 2005,28 October 2009
Germany,Finance,Wolfgang Schäuble,28 October 2009,24 October 2017
Germany,Finance,Peter Altmaier,24 October 2017,14 March 2018
Germany,Finance,Olaf Scholz,14 March 2018,8 December 2021
Germany,Finance,Christian Lindner,8 December 2021,7 November 2024
Germany,Finance,Jörg Kukies,7 November 2024,6 May 2025
Germany,Finance,Lars Klingbeil,6 May 2025,Incumbent
