country,portfolio,name,start_date,end_date,dob,dod,cause_of_death,wikidata_id
Germany,Health,Katharina Focke,15 December 1972,14 December 1976,1922-10-08,2016-07-10,,Q90823
Germany,Health,Antje Huber,16 December 1976,28 April 1982,1924-05-23,2015-09-30,,Q87744
Germany,Health,Anke Fuchs,28 April 1982,1 October 1982,1937-07-05,2019-10-14,,Q73197
Germany,Health,Heiner Geißler,4 October 1982,5 June 1986,1930-03-03,2017-09-12,,Q72651
Germany,Health,Rita Süssmuth,6 June 1986,25 November 1988,1937-02-17,2026-02-01,,Q66286
Germany,Health,Ursula Lehr,9 December 1988,18 January 1991,1930-06-05,2022-04-25,,Q290708
Germany,Health,Gerda Hasselfeldt,18 January 1991,6 May 1992,1950-07-07,,,Q72873
Germany,Health,Horst Seehofer,6 May 1992,26 October 1998,1949-07-04,,,Q44612
Germany,Health,Andrea Fischer,27 October 1998,12 January 2001,1960-01-14,,,Q64528
Germany,Health,Ulla Schmidt,12 January 2001,27 October 2009,1949-06-13,,,Q61307
Germany,Health,Philipp Rösler,28 October 2009,12 May 2011,1973-02-24,,,Q57789
Germany,Health,Daniel Bahr,12 May 2011,17 December 2013,1976-11-04,,,Q62812
Germany,Health,Hermann Gröhe,17 December 2013,14 March 2018,1961-02-25,,,Q70429
Germany,Health,Jens Spahn,14 March 2018,8 December 2021,1980-05-16,,,Q86294
Germany,Health,Karl Lauterbach,8 December 2021,6 May 2025,1963-02-21,,,Q105676
Germany,Health,Nina Warken,6 May 2025,Incumbent,1979-05-15,,,Q15644599
