country,portfolio,name,start_date,end_date
Germany,Health,Katharina Focke,15 December 1972,14 December 1976
Germany,Health,Antje Huber,16 December 1976,28 April 1982
Germany,Health,Anke Fuchs,28 April 1982,1 October 1982
Germany,Health,Heiner Geißler,4 October 1982,5 June 1986
Germany,Health,Rita Süssmuth,6 June 1986,25 November 1988
Germany,Health,Ursula Lehr,9 December 1988,18 January 1991
Germany,Health,Gerda Hasselfeldt,18 January 1991,6 May 1992
Germany,Health,Horst Seehofer,6 May 1992,26 October 1998
Germany,Health,Andrea Fischer,27 October 1998,12 January 2001
Germany,Health,Ulla Schmidt,12 January 2001,27 October 2009
Germany,Health,Philipp Rösler,28 October 2009,12 May 2011
Germany,Health,Daniel Bahr,12 May 2011,17 December 2013
Germany,Health,Hermann Gröhe,17 December 2013,14 March 2018
Germany,Health,Jens Spahn,14 March 2018,8 December 2021
Germany,Health,Karl Lauterbach,8 December 2021,6 May 2025
Germany,Health,Nina Warken,6 May 2025,Incumbent
