country,portfolio,name,start_date,end_date,dob,dod,cause_of_death,wikidata_id
Germany,Interior,Hans-Dietrich Genscher,22 October 1969,16 May 1974,1927-03-21,2016-03-31,cardiac arrest,Q106235
Germany,Interior,Werner Maihofer,16 May 1974,8 June 1978,1918-10-20,2009-10-06,,Q65587
Germany,Interior,Gerhart Baum,8 June 1978,17 September 1982,1932-10-28,2025-02-15,,Q518517
Germany,Interior,Jürgen Schmude,17 September 1982,1 October 1982,1936-06-09,2025-02-03,,Q65545
Germany,Interior,Friedrich Zimmermann,4 October 1982,21 April 1989,1925-07-18,2012-09-16,,Q65529
Germany,Interior,Wolfgang Schäuble,21 April 1989,26 November 1991,1942-09-18,2023-12-26,cancer,Q16019
Germany,Interior,Rudolf Seiters,26 November 1991,7 July 1993,1937-01-01,,,Q73941
Germany,Interior,Manfred Kanther,7 July 1993,27 October 1998,1939-05-26,,,Q492250
Germany,Interior,Otto Schily,27 October 1998,22 November 2005,1932-07-20,,,Q60788
Germany,Interior,Wolfgang Schäuble,22 November 2005,28 October 2009,1942-09-18,2023-12-26,cancer,Q16019
Germany,Interior,Thomas de Maizière,28 October 2009,3 March 2011,1954-01-21,,,Q57364
Germany,Interior,Hans-Peter Friedrich,3 March 2011,17 December 2013,1957-03-10,,,Q66144
Germany,Interior,Thomas de Maizière,17 December 2013,14 March 2018,1954-01-21,,,Q57364
Germany,Interior,Horst Seehofer,14 March 2018,8 December 2021,1949-07-04,,,Q44612
Germany,Interior,Nancy Faeser,8 December 2021,6 May 2025,1970-07-13,,,Q1288810
Germany,Interior,Alexander Dobrindt,6 May 2025,Incumbent,1970-06-07,,,Q85783
