country,portfolio,name,start_date,end_date
Germany,Interior,Hans-Dietrich Genscher,22 October 1969,16 May 1974
Germany,Interior,Werner Maihofer,16 May 1974,8 June 1978
Germany,Interior,Gerhart Baum,8 June 1978,17 September 1982
Germany,Interior,Jürgen Schmude,17 September 1982,1 October 1982
Germany,Interior,Friedrich Zimmermann,4 October 1982,21 April 1989
Germany,Interior,Wolfgang Schäuble,21 April 1989,26 November 1991
Germany,Interior,Rudolf Seiters,26 November 1991,7 July 1993
Germany,Interior,Manfred Kanther,7 July 1993,27 October 1998
Germany,Interior,Otto Schily,27 October 1998,22 November 2005
Germany,Interior,Wolfgang Schäuble,22 November 2005,28 October 2009
Germany,Interior,Thomas de Maizière,28 October 2009,3 March 2011
Germany,Interior,Hans-Peter Friedrich,3 March 2011,17 December 2013
Germany,Interior,Thomas de Maizière,17 December 2013,14 March 2018
Germany,Interior,Horst Seehofer,14 March 2018,8 December 2021
Germany,Interior,Nancy Faeser,8 December 2021,6 May 2025
Germany,Interior,Alexander Dobrindt,6 May 2025,Incumbent
