country,portfolio,name,start_date,end_date,dob,dod,cause_of_death,wikidata_id
Germany,Transport,Lauritz Lauritzen,15 December 1972,16 May 1974,1910-01-20,1980-06-05,,Q71369
Germany,Transport,Kurt Gscheidle,16 May 1974,4 November 1980,1924-12-16,2003-02-22,,Q69145
Germany,Transport,Volker Hauff,6 November 1980,1 October 1982,1940-08-09,,,Q96981
Germany,Transport,Werner Dollinger,4 October 1982,12 March 1987,1918-10-10,2008-01-03,,Q488902
Germany,Transport,Jürgen Warnke,12 March 1987,21 April 1989,1932-03-20,2013-04-27,,Q76101
Germany,Transport,Friedrich Zimmermann,21 April 1989,18 January 1991,1925-07-18,2012-09-16,,Q65529
Germany,Transport,Günther Krause,18 January 1991,13 May 1993,1953-09-13,,,Q87742
Germany,Transport,Matthias Wissmann,13 May 1993,26 October 1998,1949-04-15,,,Q316609
Germany,Transport,Franz Müntefering,27 October 1998,29 September 1999,1940-01-16,,,Q58609
Germany,Transport,Reinhard Klimmt,29 September 1999,16 November 2000,1942-08-16,,,Q518645
Germany,Transport,Kurt Bodewig,20 November 2000,22 October 2002,1955-04-26,,,Q67911
Germany,Transport,Manfred Stolpe,22 October 2002,22 November 2005,1936-05-16,2019-12-29,cancer,Q66127
Germany,Transport,Wolfgang Tiefensee,22 November 2005,28 October 2009,1955-01-04,,,Q61386
Germany,Transport,Peter Ramsauer,28 October 2009,17 December 2013,1954-02-10,,,Q64525
Germany,Transport,Alexander Dobrindt,17 December 2013,24 October 2017,1970-06-07,,,Q85783
Germany,Transport,Christian Schmidt,24 October 2017,14 March 2018,1957-08-26,,,Q107018
Germany,Transport,Andreas Scheuer,14 March 2018,8 December 2021,1974-09-26,,,Q500381
Germany,Transport,Volker Wissing,8 December 2021,6 May 2025,1970-04-22,,,Q1278715
Germany,Transport,Patrick Schnieder,6 May 2025,Incumbent,1968-05-01,,,Q1373882
