country,portfolio,name,start_date,end_date
Germany,Transport,Lauritz Lauritzen,15 December 1972,16 May 1974
Germany,Transport,Kurt Gscheidle,16 May 1974,4 November 1980
Germany,Transport,Volker Hauff,6 November 1980,1 October 1982
Germany,Transport,Werner Dollinger,4 October 1982,12 March 1987
Germany,Transport,Jürgen Warnke,12 March 1987,21 April 1989
Germany,Transport,Friedrich Zimmermann,21 April 1989,18 January 1991
Germany,Transport,Günther Krause,18 January 1991,13 May 1993
Germany,Transport,Matthias Wissmann,13 May 1993,26 October 1998
Germany,Transport,Franz Müntefering,27 October 1998,29 September 1999
Germany,Transport,Reinhard Klimmt,29 September 1999,16 November 2000
Germany,Transport,Kurt Bodewig,20 November 2000,22 October 2002
Germany,Transport,Manfred Stolpe,22 October 2002,22 November 2005
Germany,Transport,Wolfgang Tiefensee,22 November 2005,28 October 2009
Germany,Transport,Peter Ramsauer,28 October 2009,17 December 2013
Germany,Transport,Alexander Dobrindt,17 December 2013,24 October 2017
Germany,Transport,Christian Schmidt,24 October 2017,14 March 2018
Germany,Transport,Andreas Scheuer,14 March 2018,8 December 2021
Germany,Transport,Volker Wissing,8 December 2021,6 May 2025
Germany,Transport,Patrick Schnieder,6 May 2025,Incumbent
