country,portfolio,name,start_date,end_date,dob,dod,cause_of_death,wikidata_id
Greece,Defense,Akis Tsochatzopoulos,24 September 1996,23 October 2001,1939-07-31,2021-08-27,cardiac arrest,Q620468
Greece,Defense,Yiannos Papantoniou,23 October 2001,10 March 2004,1949-07-27,,,Q321635
Greece,Defense,Spilios Spiliotopoulos,10 March 2004,15 February 2006,1946-10-31,,,Q3564648
Greece,Defense,Evangelos Meimarakis,15 February 2006,7 October 2009,1953-12-14,,,Q1895909
Greece,Defense,Evangelos Venizelos,7 October 2009,17 June 2011,1957-01-01,,,Q312994
Greece,Defense,Panos Beglitis,17 June 2011,11 November 2011,1957-02-25,,,Q2629028
Greece,Defense,Dimitris Avramopoulos,11 November 2011,17 May 2012,1953-06-06,,,Q983664
Greece,Defense,Frangoulis Frangos,17 May 2012,21 June 2012,1951-01-01,,,Q12885870
Greece,Defense,Panos Panagiotopoulos,21 June 2012,25 June 2013,1957-12-12,,,Q2048881
Greece,Defense,Dimitris Avramopoulos,25 June 2013,3 November 2014,1953-06-06,,,Q983664
Greece,Defense,Nikos Dendias,3 November 2014,27 January 2015,1959-10-07,,,Q247424
Greece,Defense,Panos Kammenos,27 January 2015,27 August 2015,1965-05-12,,,Q1467594
Greece,Defense,Ioannis Giangos,28 August 2015,21 September 2015,1951-01-01,,,Q6062034
Greece,Defense,Panos Kammenos,23 September 2015,14 January 2019,1965-05-12,,,Q1467594
Greece,Defense,Evangelos Apostolakis,14 January 2019,9 July 2019,1957-05-14,,,Q15890263
Greece,Defense,Nikos Panagiotopoulos,9 July 2019,26 May 2023,,,,Q17151
Greece,Defense,Alkiviadis Stefanis,26 May 2023,27 June 2023,1959-10-07,,,Q61062150
Greece,Defense,Nikos Dendias,27 June 2023,Incumbent,1959-10-07,,,Q247424
