country,portfolio,name,start_date,end_date
Greece,Defense,Akis Tsochatzopoulos,24 September 1996,23 October 2001
Greece,Defense,Yiannos Papantoniou,23 October 2001,10 March 2004
Greece,Defense,Spilios Spiliotopoulos,10 March 2004,15 February 2006
Greece,Defense,Evangelos Meimarakis,15 February 2006,7 October 2009
Greece,Defense,Evangelos Venizelos,7 October 2009,17 June 2011
Greece,Defense,Panos Beglitis,17 June 2011,11 November 2011
Greece,Defense,Dimitris Avramopoulos,11 November 2011,17 May 2012
Greece,Defense,Frangoulis Frangos,17 May 2012,21 June 2012
Greece,Defense,Panos Panagiotopoulos,21 June 2012,25 June 2013
Greece,Defense,Dimitris Avramopoulos,25 June 2013,3 November 2014
Greece,Defense,Nikos Dendias,3 November 2014,27 January 2015
Greece,Defense,Panos Kammenos,27 January 2015,27 August 2015
Greece,Defense,Ioannis Giangos,28 August 2015,21 September 2015
Greece,Defense,Panos Kammenos,23 September 2015,14 January 2019
Greece,Defense,Evangelos Apostolakis,14 January 2019,9 July 2019
Greece,Defense,Nikos Panagiotopoulos,9 July 2019,26 May 2023
Greece,Defense,Alkiviadis Stefanis,26 May 2023,27 June 2023
Greece,Defense,Nikos Dendias,27 June 2023,Incumbent
