country,portfolio,name,start_date,end_date,dob,dod,cause_of_death,wikidata_id
Greece,Finance,Giangos Pesmazoglou,1974-07-26,1974-10-09,,,,
Greece,Finance,Nikolaos Fotias,1974-10-09,1974-11-21,1939-05-12,2011-02-09,,Q1935856
Greece,Finance,Evangelos Devletoglou,1974-11-21,1977-11-28,1957-01-01,,,Q312994
Greece,Finance,Ioannis Boutos,1977-11-28,1978-05-10,1961-03-24,,,Q40688
Greece,Finance,Athanasios Kanellopoulos,1978-05-10,1980-05-10,,,,Q12359883
Greece,Finance,Miltiadis Evert,1980-05-10,1981-10-21,1939-05-12,2011-02-09,,Q1935856
Greece,Finance,Manolis Drettakis,1981-10-21,1982-06-28,,,,
Greece,Finance,Dimitrios Koulourianos,1982-06-28,1983-09-09,1939-05-12,2011-02-09,,Q1935856
Greece,Finance,Ioannis Pottakis,1983-09-09,1984-03-27,1961-03-24,,,Q40688
Greece,Finance,Gerasimos Arsenis,1984-03-27,1985-07-26,1931-05-30,2016-04-19,,Q701060
Greece,Finance,Dimitris Tsovolas,1985-07-26,1989-07-02,1942-09-04,2022-02-25,cancer,Q5277682
Greece,Finance,Antonis Samaras,1989-07-02,1989-10-12,1951-05-23,,,Q57806
Greece,Finance,Georgios Agapitos,1989-10-12,1989-11-23,1961-03-24,,,Q40688
Greece,Finance,Georgios Souflias,1989-11-23,1990-02-13,1941-07-07,,,Q459262
Greece,Finance,Georgios Agapitos,1990-02-13,1990-04-11,1961-03-24,,,Q40688
Greece,Finance,Ioannis Palaiokrassas,1990-04-11,1992-08-07,1934-03-27,2021-10-02,,Q722451
Greece,Finance,Stefanos Manos,1992-08-07,1993-10-13,1939-01-01,,,Q7606516
Greece,Finance,Georgios Gennimatas,1993-10-13,1994-02-25,1939-06-30,1994-04-25,lung cancer,Q3561313
Greece,Finance,Alekos Papadopoulos,1994-02-25,1996-09-25,1949-00-00,,,Q12873280
Greece,Finance,Yiannos Papantoniou,1996-09-25,2001-10-24,1949-07-27,,,Q321635
Greece,Finance,Nikos Christodoulakis,2001-10-24,2002-03-21,1952-10-27,,,Q7036594
Greece,Finance,Nikos Christodoulakis,2002-03-21,2004-03-10,1952-10-27,,,Q7036594
Greece,Finance,Georgios Alogoskoufis,2004-03-10,2009-01-07,1955-10-17,,,Q556905
Greece,Finance,Yannis Papathanasiou,2009-01-08,2009-10-07,1954-00-00,,,Q961952
Greece,Finance,Giorgos Papakonstantinou,2009-10-07,2011-06-17,1961-10-30,,,Q929413
Greece,Finance,Evangelos Venizelos,2011-06-17,2012-03-21,1957-01-01,,,Q312994
Greece,Finance,Filippos Sachinidis,2012-03-21,2012-05-17,1963-03-27,,,Q1414062
Greece,Finance,George Zanias,2012-05-17,2012-07-05,1955-08-16,,,Q1525626
Greece,Finance,Yannis Stournaras,2012-07-05,2014-06-10,1956-12-10,,,Q715468
Greece,Finance,Gikas Hardouvelis,2014-06-10,2015-01-27,1955-10-08,,,Q1447979
Greece,Finance,Yanis Varoufakis,2015-01-27,2015-07-06,1961-03-24,,,Q40688
Greece,Finance,Euclid Tsakalotos,2015-07-06,2015-08-27,1960-06-19,,,Q19428891
Greece,Finance,George Chouliarakis,2015-08-28,2015-09-21,2000-00-00,,,Q19872105
Greece,Finance,Euclid Tsakalotos,2015-09-23,2019-07-09,1960-06-19,,,Q19428891
Greece,Finance,Christos Staikouras,2019-07-09,2023-05-26,1973-08-12,,,Q12886185
Greece,Finance,Theodore Pelagidis,2023-05-26,2023-06-27,,,,Q223153
Greece,Finance,Kostis Hatzidakis,2023-06-27,2025-03-15,1965-04-20,,,Q1348054
Greece,Finance,Kyriakos Pierrakakis,2025-03-15,Incumbent,1983-08-08,,,Q65273184
