country,portfolio,name,start_date,end_date
Greece,Finance,Giangos Pesmazoglou,1974-07-26,1974-10-09
Greece,Finance,Nikolaos Fotias,1974-10-09,1974-11-21
Greece,Finance,Evangelos Devletoglou,1974-11-21,1977-11-28
Greece,Finance,Ioannis Boutos,1977-11-28,1978-05-10
Greece,Finance,Athanasios Kanellopoulos,1978-05-10,1980-05-10
Greece,Finance,Miltiadis Evert,1980-05-10,1981-10-21
Greece,Finance,Manolis Drettakis,1981-10-21,1982-06-28
Greece,Finance,Dimitrios Koulourianos,1982-06-28,1983-09-09
Greece,Finance,Ioannis Pottakis,1983-09-09,1984-03-27
Greece,Finance,Gerasimos Arsenis,1984-03-27,1985-07-26
Greece,Finance,Dimitris Tsovolas,1985-07-26,1989-07-02
Greece,Finance,Antonis Samaras,1989-07-02,1989-10-12
Greece,Finance,Georgios Agapitos,1989-10-12,1989-11-23
Greece,Finance,Georgios Souflias,1989-11-23,1990-02-13
Greece,Finance,Georgios Agapitos,1990-02-13,1990-04-11
Greece,Finance,Ioannis Palaiokrassas,1990-04-11,1992-08-07
Greece,Finance,Stefanos Manos,1992-08-07,1993-10-13
Greece,Finance,Georgios Gennimatas,1993-10-13,1994-02-25
Greece,Finance,Alekos Papadopoulos,1994-02-25,1996-09-25
Greece,Finance,Yiannos Papantoniou,1996-09-25,2001-10-24
Greece,Finance,Nikos Christodoulakis,2001-10-24,2002-03-21
Greece,Finance,Nikos Christodoulakis,2002-03-21,2004-03-10
Greece,Finance,Georgios Alogoskoufis,2004-03-10,2009-01-07
Greece,Finance,Yannis Papathanasiou,2009-01-08,2009-10-07
Greece,Finance,Giorgos Papakonstantinou,2009-10-07,2011-06-17
Greece,Finance,Evangelos Venizelos,2011-06-17,2012-03-21
Greece,Finance,Filippos Sachinidis,2012-03-21,2012-05-17
Greece,Finance,George Zanias,2012-05-17,2012-07-05
Greece,Finance,Yannis Stournaras,2012-07-05,2014-06-10
Greece,Finance,Gikas Hardouvelis,2014-06-10,2015-01-27
Greece,Finance,Yanis Varoufakis,2015-01-27,2015-07-06
Greece,Finance,Euclid Tsakalotos,2015-07-06,2015-08-27
Greece,Finance,George Chouliarakis,2015-08-28,2015-09-21
Greece,Finance,Euclid Tsakalotos,2015-09-23,2019-07-09
Greece,Finance,Christos Staikouras,2019-07-09,2023-05-26
Greece,Finance,Theodore Pelagidis,2023-05-26,2023-06-27
Greece,Finance,Kostis Hatzidakis,2023-06-27,2025-03-15
Greece,Finance,Kyriakos Pierrakakis,2025-03-15,Incumbent
