country,portfolio,name,start_date,end_date,dob,dod,cause_of_death,wikidata_id
Greece,Health,Nikitas Kaklamanis,10 March 2004,15 February 2006,1946-04-01,,,Q701055
Greece,Health,Dimitris Avramopoulos,15 February 2006,7 October 2009,1953-06-06,,,Q983664
Greece,Health,Mariliza Xenogiannakopoulou,7 October 2009,7 September 2010,1963-02-20,,,Q467853
Greece,Health,Andreas Loverdos,7 September 2010,17 May 2012,1956-05-15,,,Q499341
Greece,Health,Christos Kittas,17 May 2012,21 June 2012,,,,Q152372
Greece,Health,Andreas Lykourentzos,21 June 2012,25 June 2013,1972-11-06,,,Q4684534
Greece,Health,Adonis Georgiadis,25 June 2013,10 June 2014,1972-11-06,,,Q4684534
Greece,Health,Makis Voridis,10 June 2014,27 January 2015,1964-08-23,,,Q1886385
Greece,Health,Panagiotis Kouroumplis,27 January 2015,27 August 2015,1951-10-02,,,Q16331139
Greece,Health,Athanasios Dimopoulos,28 August 2015,21 September 2015,1951-10-02,,,Q16331139
Greece,Health,Andreas Xanthos,23 September 2015,9 July 2019,1960-08-11,,,Q19629692
Greece,Health,Vasilis Kikilias,9 July 2019,31 August 2021,1974-05-15,,,Q7916956
Greece,Health,Thanos Plevris,31 August 2021,26 May 2023,1977-05-21,,,Q444093
Greece,Health,Anastasia Kotanidou,26 May 2023,27 June 2023,1955-10-31,,,Q185945
Greece,Health,Michalis Chrisochoidis,27 June 2023,4 January 2024,1955-10-31,,,Q185945
Greece,Health,Adonis Georgiadis,4 January 2024,Incumbent,1972-11-06,,,Q4684534
