country,portfolio,name,start_date,end_date
Greece,Health,Nikitas Kaklamanis,10 March 2004,15 February 2006
Greece,Health,Dimitris Avramopoulos,15 February 2006,7 October 2009
Greece,Health,Mariliza Xenogiannakopoulou,7 October 2009,7 September 2010
Greece,Health,Andreas Loverdos,7 September 2010,17 May 2012
Greece,Health,Christos Kittas,17 May 2012,21 June 2012
Greece,Health,Andreas Lykourentzos,21 June 2012,25 June 2013
Greece,Health,Adonis Georgiadis,25 June 2013,10 June 2014
Greece,Health,Makis Voridis,10 June 2014,27 January 2015
Greece,Health,Panagiotis Kouroumplis,27 January 2015,27 August 2015
Greece,Health,Athanasios Dimopoulos,28 August 2015,21 September 2015
Greece,Health,Andreas Xanthos,23 September 2015,9 July 2019
Greece,Health,Vasilis Kikilias,9 July 2019,31 August 2021
Greece,Health,Thanos Plevris,31 August 2021,26 May 2023
Greece,Health,Anastasia Kotanidou,26 May 2023,27 June 2023
Greece,Health,Michalis Chrisochoidis,27 June 2023,4 January 2024
Greece,Health,Adonis Georgiadis,4 January 2024,Incumbent
