country,portfolio,name,start_date,end_date,dob,dod,cause_of_death,wikidata_id
Greece,Interior,Georgios Rallis,24 July 1974,26 July 1974,1918-12-26,2006-03-15,heart failure,Q252657
Greece,Interior,Christoforos Stratos,26 July 1974,9 October 1974,1924-10-00,1982-04-15,,Q12886234
Greece,Interior,Panagiotis Zeppos,9 October 1974,21 November 1974,1926-08-15,2016-11-20,pneumonia,Q206421
Greece,Interior,Konstantinos Stefanopoulos,21 November 1974,10 September 1976,1940-06-02,2023-01-10,stroke,Q151773
Greece,Interior,Ippokratis Iordanoglou,10 September 1976,21 October 1977,1926-08-15,2016-11-20,pneumonia,Q206421
Greece,Interior,Georgios Mitsopoulos,21 October 1977,28 November 1977,1888-02-13,1968-11-01,,Q311207
Greece,Interior,Christoforos Stratos,28 November 1977,17 September 1981,1924-10-00,1982-04-15,,Q12886234
Greece,Interior,Georgios D. Daskalakis,17 September 1981,21 October 1981,1879-08-14,1936-01-31,myocardial infarction,Q167278
Greece,Interior,Georgios Gennimatas,21 October 1981,17 January 1984,1939-06-30,1994-04-25,lung cancer,Q3561313
Greece,Interior,Menios Koutsogiorgas,17 January 1984,22 May 1984,1922-05-10,1991-04-18,,Q6817098
Greece,Interior,Panagiotis Markopoulos,22 May 1984,21 June 1984,1916-00-00,1996-00-00,,Q14337768
Greece,Interior,Menios Koutsogiorgas,21 June 1984,9 May 1985,1922-05-10,1991-04-18,,Q6817098
Greece,Interior,Panagiotis Markopoulos,9 May 1985,5 June 1985,1916-00-00,1996-00-00,,Q14337768
Greece,Interior,Menios Koutsogiorgas,5 June 1985,5 February 1987,1922-05-10,1991-04-18,,Q6817098
Greece,Interior,Emmanouil Papastefanakis,5 February 1987,23 September 1987,1878-01-11,1952-02-27,,Q515693
Greece,Interior,Akis Tsochatzopoulos,23 September 1987,2 June 1989,1939-07-31,2021-08-27,cardiac arrest,Q620468
Greece,Interior,Panagiotis Markopoulos,2 June 1989,2 July 1989,1916-00-00,1996-00-00,,Q14337768
Greece,Interior,Nikos Konstantopoulos,2 July 1989,12 October 1989,1942-06-08,,,Q3347276
Greece,Interior,Vassilios Skouris,12 October 1989,23 November 1989,1948-03-06,,,Q551002
Greece,Interior,Theodoros Katrivanos,23 November 1989,11 April 1990,1878-01-11,1952-02-27,,Q515693
Greece,Interior,Sotirios Kouvelas,11 April 1990,8 August 1991,,,,Q13479518
Greece,Interior,Nikolaos Kleitos,8 August 1991,3 December 1992,,,,Q17151
Greece,Interior,Ioannis Kefalogiannis,3 December 1992,14 September 1993,1933-12-06,2012-01-20,,Q6062066
Greece,Interior,Ioannis Georgakis,14 September 1993,13 October 1993,1776-02-10,1831-09-27,deliberate murder,Q220430
Greece,Interior,Akis Tsochatzopoulos,13 October 1993,8 July 1994,1939-07-31,2021-08-27,cardiac arrest,Q620468
Greece,Interior,Kostas Skandalidis,8 July 1994,15 September 1995,1953-01-11,,,Q2337038
Greece,Interior,Akis Tsochatzopoulos,15 September 1995,30 August 1996,1939-07-31,2021-08-27,cardiac arrest,Q620468
Greece,Interior,Vassilios Skouris,30 August 1996,25 September 1996,1948-03-06,,,Q551002
Greece,Interior,Alekos Papadopoulos,25 September 1996,19 February 1999,1949-00-00,,,Q12873280
Greece,Interior,Vasso Papandreou,19 February 1999,20 March 2000,1944-12-09,2024-10-17,,Q468103
Greece,Interior,Georgios Koumantos,20 March 1999,13 April 2000,1944-12-09,2024-10-17,,Q468103
Greece,Interior,Vasso Papandreou,13 April 2000,24 October 2001,1944-12-09,2024-10-17,,Q468103
Greece,Interior,Kostas Skandalidis,24 October 2001,13 February 2004,1953-01-11,,,Q2337038
Greece,Interior,Nikos Alivizatos,13 February 2004,10 March 2004,1949-01-01,,,Q12881764
Greece,Interior,Prokopis Pavlopoulos,10 March 2004,24 August 2007,1950-07-10,,,Q3407316
Greece,Interior,Spyridon Flogaitis,24 August 2007,19 September 2007,1950-07-22,,,Q16328921
Greece,Interior,Prokopis Pavlopoulos,19 September 2007,11 September 2009,1950-07-10,,,Q3407316
Greece,Interior,Spyridon Flogaitis,11 September 2009,7 October 2009,1950-07-22,,,Q16328921
Greece,Interior,Giannis Ragousis,7 October 2009,27 June 2011,1965-12-11,,,Q1522688
Greece,Interior,Haris Kastanidis,27 June 2011,11 November 2011,1956-03-11,,,Q1063232
Greece,Interior,Tasos Giannitsis,11 November 2011,17 May 2012,1944-01-01,,,Q526202
Greece,Interior,Antonis Manitakis,17 May 2012,21 June 2012,1944-05-23,2026-02-18,,Q13260393
Greece,Interior,Evripidis Stylianidis,21 June 2012,25 June 2013,1966-04-08,,,Q694779
Greece,Interior,Giannis Michelakis,25 June 2013,10 June 2014,1965-12-11,,,Q1522688
Greece,Interior,Argyris Dinopoulos,10 June 2014,31 December 2014,,,,Q15299258
Greece,Interior,Michail Theocharidis,31 December 2014,27 January 2015,,,,
Greece,Interior,Nikos Voutsis,27 January 2015,28 August 2015,1951-03-04,,,Q18913643
Greece,Interior,Antonis Manitakis,28 August 2015,23 September 2015,1944-05-23,2026-02-18,,Q13260393
Greece,Interior,Panagiotis Kouroumblis,23 September 2015,5 November 2016,1951-10-02,,,Q16331139
Greece,Interior,Panos Skourletis,5 November 2016,29 August 2018,1962-01-01,,,Q18913186
Greece,Interior,Alexis Haritsis,29 August 2018,13 June 2019,1977-08-10,,,Q24405410
Greece,Interior,Antonis Roupakiotis,13 June 2019,9 July 2019,1938-00-00,,,Q4777136
Greece,Interior,Takis Theodorikakos,9 July 2019,5 January 2021,1955-10-31,,,Q185945
Greece,Interior,Makis Voridis,5 January 2021,23 April 2023,1964-08-23,,,Q1886385
Greece,Interior,Calliope Spanou,23 April 2023,27 June 2023,,,,Q22277244
Greece,Interior,Niki Kerameus,27 June 2023,14 June 2024,1980-07-18,,,Q20995447
Greece,Interior,Thodoris Livanios,14 June 2024,Incumbent,1977-00-00,,,Q96179475
