country,portfolio,name,start_date,end_date
Greece,Interior,Georgios Rallis,24 July 1974,26 July 1974
Greece,Interior,Christoforos Stratos,26 July 1974,9 October 1974
Greece,Interior,Panagiotis Zeppos,9 October 1974,21 November 1974
Greece,Interior,Konstantinos Stefanopoulos,21 November 1974,10 September 1976
Greece,Interior,Ippokratis Iordanoglou,10 September 1976,21 October 1977
Greece,Interior,Georgios Mitsopoulos,21 October 1977,28 November 1977
Greece,Interior,Christoforos Stratos,28 November 1977,17 September 1981
Greece,Interior,Georgios D. Daskalakis,17 September 1981,21 October 1981
Greece,Interior,Georgios Gennimatas,21 October 1981,17 January 1984
Greece,Interior,Menios Koutsogiorgas,17 January 1984,22 May 1984
Greece,Interior,Panagiotis Markopoulos,22 May 1984,21 June 1984
Greece,Interior,Menios Koutsogiorgas,21 June 1984,9 May 1985
Greece,Interior,Panagiotis Markopoulos,9 May 1985,5 June 1985
Greece,Interior,Menios Koutsogiorgas,5 June 1985,5 February 1987
Greece,Interior,Emmanouil Papastefanakis,5 February 1987,23 September 1987
Greece,Interior,Akis Tsochatzopoulos,23 September 1987,2 June 1989
Greece,Interior,Panagiotis Markopoulos,2 June 1989,2 July 1989
Greece,Interior,Nikos Konstantopoulos,2 July 1989,12 October 1989
Greece,Interior,Vassilios Skouris,12 October 1989,23 November 1989
Greece,Interior,Theodoros Katrivanos,23 November 1989,11 April 1990
Greece,Interior,Sotirios Kouvelas,11 April 1990,8 August 1991
Greece,Interior,Nikolaos Kleitos,8 August 1991,3 December 1992
Greece,Interior,Ioannis Kefalogiannis,3 December 1992,14 September 1993
Greece,Interior,Ioannis Georgakis,14 September 1993,13 October 1993
Greece,Interior,Akis Tsochatzopoulos,13 October 1993,8 July 1994
Greece,Interior,Kostas Skandalidis,8 July 1994,15 September 1995
Greece,Interior,Akis Tsochatzopoulos,15 September 1995,30 August 1996
Greece,Interior,Vassilios Skouris,30 August 1996,25 September 1996
Greece,Interior,Alekos Papadopoulos,25 September 1996,19 February 1999
Greece,Interior,Vasso Papandreou,19 February 1999,20 March 2000
Greece,Interior,Georgios Koumantos,20 March 1999,13 April 2000
Greece,Interior,Vasso Papandreou,13 April 2000,24 October 2001
Greece,Interior,Kostas Skandalidis,24 October 2001,13 February 2004
Greece,Interior,Nikos Alivizatos,13 February 2004,10 March 2004
Greece,Interior,Prokopis Pavlopoulos,10 March 2004,24 August 2007
Greece,Interior,Spyridon Flogaitis,24 August 2007,19 September 2007
Greece,Interior,Prokopis Pavlopoulos,19 September 2007,11 September 2009
Greece,Interior,Spyridon Flogaitis,11 September 2009,7 October 2009
Greece,Interior,Giannis Ragousis,7 October 2009,27 June 2011
Greece,Interior,Haris Kastanidis,27 June 2011,11 November 2011
Greece,Interior,Tasos Giannitsis,11 November 2011,17 May 2012
Greece,Interior,Antonis Manitakis,17 May 2012,21 June 2012
Greece,Interior,Evripidis Stylianidis,21 June 2012,25 June 2013
Greece,Interior,Giannis Michelakis,25 June 2013,10 June 2014
Greece,Interior,Argyris Dinopoulos,10 June 2014,31 December 2014
Greece,Interior,Michail Theocharidis,31 December 2014,27 January 2015
Greece,Interior,Nikos Voutsis,27 January 2015,28 August 2015
Greece,Interior,Antonis Manitakis,28 August 2015,23 September 2015
Greece,Interior,Panagiotis Kouroumblis,23 September 2015,5 November 2016
Greece,Interior,Panos Skourletis,5 November 2016,29 August 2018
Greece,Interior,Alexis Haritsis,29 August 2018,13 June 2019
Greece,Interior,Antonis Roupakiotis,13 June 2019,9 July 2019
Greece,Interior,Takis Theodorikakos,9 July 2019,5 January 2021
Greece,Interior,Makis Voridis,5 January 2021,23 April 2023
Greece,Interior,Calliope Spanou,23 April 2023,27 June 2023
Greece,Interior,Niki Kerameus,27 June 2023,14 June 2024
Greece,Interior,Thodoris Livanios,14 June 2024,Incumbent
