country,portfolio,name,start_date,end_date,dob,dod,cause_of_death,wikidata_id
Greece,Transport,Nikos Gelestathis,11 April 1990,3 December 1992,1930-01-01,2020-08-30,,Q19688846
Greece,Transport,Theodoros Anagnostopoulos,3 December 1992,13 October 1993,1770-04-03,1843-02-04,,Q319678
Greece,Transport,Ioannis Charalambous,13 October 1993,8 July 1994,,,,Q2748384
Greece,Transport,Theodoros Pangalos,8 July 1994,15 September 1994,1878-01-11,1952-02-27,,Q515693
Greece,Transport,Athanasios Tsouras,15 September 1994,15 September 1995,,,,Q6572419
Greece,Transport,Evangelos Venizelos,15 September 1995,22 January 1996,1957-01-01,,,Q312994
Greece,Transport,Haris Kastanidis,22 January 1996,2 September 1997,1956-03-11,,,Q1063232
Greece,Transport,Anastasios Mantelis,2 September 1997,13 April 2000,,,,
Greece,Transport,Christos Verelis,13 April 2000,10 March 2004,1950-06-03,,,Q5113601
Greece,Transport,Michalis Liapis,10 March 2004,19 September 2007,1951-05-08,,,Q12881067
Greece,Transport,Kostis Hatzidakis,19 September 2007,8 January 2009,1965-04-20,,,Q1348054
Greece,Transport,Evripidis Stylianidis,8 January 2009,7 October 2009,1966-04-08,,,Q694779
Greece,Transport,Dimitris Reppas,7 October 2009,17 June 2011,1952-07-06,,,Q1226051
Greece,Transport,Giannis Ragousis,17 June 2011,11 November 2011,1965-12-11,,,Q1522688
Greece,Transport,Makis Voridis,11 November 2011,17 May 2012,1964-08-23,,,Q1886385
Greece,Transport,Simos Simopoulos,17 May 2012,21 June 2012,,2020-01-01,,Q31284054
Greece,Transport,Kostis Hatzidakis,21 June 2012,25 June 2013,1965-04-20,,,Q1348054
Greece,Transport,Michalis Chrisochoidis,25 June 2013,27 January 2015,1955-10-31,,,Q185945
Greece,Transport,Giorgos Stathakis,27 January 2015,28 August 2015,1953-11-08,,,Q18913183
Greece,Transport,Nikos Christodoulakis,28 August 2015,23 September 2015,1952-10-27,,,Q7036594
Greece,Transport,Christos Spirtzis,23 September 2015,9 July 2019,1969-03-10,,,Q18939930
Greece,Transport,Kostas Karamanlis,9 July 2019,1 March 2023,1956-09-14,,,Q188978
Greece,Transport,Giorgos Gerapetritis,1 March 2023,25 May 2023,1967-06-26,,,Q65273038
Greece,Transport,Yannis Gollias,26 May 2023,26 June 2023,,,,
Greece,Transport,Christos Staikouras,27 June 2023,15 March 2025,1973-08-12,,,Q12886185
Greece,Transport,Christos Dimas,15 March 2025,Incumbent,1980-05-29,,,Q20995398
