country,portfolio,name,start_date,end_date
Greece,Transport,Nikos Gelestathis,11 April 1990,3 December 1992
Greece,Transport,Theodoros Anagnostopoulos,3 December 1992,13 October 1993
Greece,Transport,Ioannis Charalambous,13 October 1993,8 July 1994
Greece,Transport,Theodoros Pangalos,8 July 1994,15 September 1994
Greece,Transport,Athanasios Tsouras,15 September 1994,15 September 1995
Greece,Transport,Evangelos Venizelos,15 September 1995,22 January 1996
Greece,Transport,Haris Kastanidis,22 January 1996,2 September 1997
Greece,Transport,Anastasios Mantelis,2 September 1997,13 April 2000
Greece,Transport,Christos Verelis,13 April 2000,10 March 2004
Greece,Transport,Michalis Liapis,10 March 2004,19 September 2007
Greece,Transport,Kostis Hatzidakis,19 September 2007,8 January 2009
Greece,Transport,Evripidis Stylianidis,8 January 2009,7 October 2009
Greece,Transport,Dimitris Reppas,7 October 2009,17 June 2011
Greece,Transport,Giannis Ragousis,17 June 2011,11 November 2011
Greece,Transport,Makis Voridis,11 November 2011,17 May 2012
Greece,Transport,Simos Simopoulos,17 May 2012,21 June 2012
Greece,Transport,Kostis Hatzidakis,21 June 2012,25 June 2013
Greece,Transport,Michalis Chrisochoidis,25 June 2013,27 January 2015
Greece,Transport,Giorgos Stathakis,27 January 2015,28 August 2015
Greece,Transport,Nikos Christodoulakis,28 August 2015,23 September 2015
Greece,Transport,Christos Spirtzis,23 September 2015,9 July 2019
Greece,Transport,Kostas Karamanlis,9 July 2019,1 March 2023
Greece,Transport,Giorgos Gerapetritis,1 March 2023,25 May 2023
Greece,Transport,Yannis Gollias,26 May 2023,26 June 2023
Greece,Transport,Christos Staikouras,27 June 2023,15 March 2025
Greece,Transport,Christos Dimas,15 March 2025,Incumbent
