country,portfolio,name,start_date,end_date,dob,dod,cause_of_death,wikidata_id
Italy,Defense,Arnaldo Forlani,1974-11-23,1976-07-29,1925-12-08,2023-07-06,,Q434786
Italy,Defense,Vittorio Lattanzio,1976-07-29,1977-09-18,1926-10-31,2010-10-31,,Q503677
Italy,Defense,Attilio Ruffini,1977-09-18,1980-01-14,1924-12-28,2011-06-23,,Q492720
Italy,Defense,Adolfo Sarti,1980-01-14,1980-04-04,1928-06-19,1992-03-02,,Q365166
Italy,Defense,Lelio Lagorio,1980-04-04,1983-08-04,1925-11-09,2017-01-07,,Q3830081
Italy,Defense,Giovanni Spadolini,1983-08-04,1987-04-18,1925-06-21,1994-08-04,cancer,Q332709
Italy,Defense,Remo Gaspari,1987-04-18,1987-07-29,1921-07-10,2011-07-19,myocardial infarction,Q3932481
Italy,Defense,Valerio Zanone,1987-07-29,1989-07-22,1936-01-22,2016-01-07,,Q4007930
Italy,Defense,Mino Martinazzoli,1989-07-22,1990-07-27,1931-11-03,2011-09-04,,Q726118
Italy,Defense,Virginio Rognoni,1990-07-27,1992-06-28,1924-08-05,2022-09-20,,Q1748746
Italy,Defense,Salvo Andò,1992-06-28,1993-04-28,1945-02-13,,,Q3946288
Italy,Defense,Fabio Fabbri,1993-04-28,1994-05-10,1933-10-15,2024-01-04,,Q3737692
Italy,Defense,Cesare Previti,1994-05-10,1995-01-17,1934-10-21,,,Q2947026
Italy,Defense,Domenico Corcione,1995-01-17,1996-05-17,1929-04-20,2020-01-03,,Q1237108
Italy,Defense,Beniamino Andreatta,1996-05-17,1998-10-21,1928-08-11,2007-03-26,,Q734294
Italy,Defense,Carlo Scognamiglio,1998-10-21,1999-12-22,1944-11-27,,,Q630738
Italy,Defense,Sergio Mattarella,1999-12-22,2001-06-11,1941-07-23,,,Q3956186
Italy,Defense,Antonio Martino,2001-06-11,2006-05-17,1942-12-22,2022-03-05,,Q603390
Italy,Defense,Arturo Parisi,2006-05-17,2008-05-08,1940-09-13,,,Q715394
Italy,Defense,Ignazio La Russa,2008-05-08,2011-11-16,1947-07-18,,,Q1394411
Italy,Defense,Giampaolo Di Paola,2011-11-16,2013-04-28,1944-08-15,,,Q647148
Italy,Defense,Mario Mauro,2013-04-28,2014-02-22,1961-07-24,,,Q24807484
Italy,Defense,Roberta Pinotti,2014-02-22,2018-06-01,1961-05-20,,,Q3938535
Italy,Defense,Elisabetta Trenta,2018-06-01,2019-09-05,1967-06-04,,,Q54578231
Italy,Defense,Lorenzo Guerini,2019-09-05,2022-10-22,1966-11-21,,,Q3836978
Italy,Defense,Guido Crosetto,2022-10-22,Incumbent,1963-09-19,,,Q3119423
