country,portfolio,name,start_date,end_date
Italy,Defense,Arnaldo Forlani,1974-11-23,1976-07-29
Italy,Defense,Vittorio Lattanzio,1976-07-29,1977-09-18
Italy,Defense,Attilio Ruffini,1977-09-18,1980-01-14
Italy,Defense,Adolfo Sarti,1980-01-14,1980-04-04
Italy,Defense,Lelio Lagorio,1980-04-04,1983-08-04
Italy,Defense,Giovanni Spadolini,1983-08-04,1987-04-18
Italy,Defense,Remo Gaspari,1987-04-18,1987-07-29
Italy,Defense,Valerio Zanone,1987-07-29,1989-07-22
Italy,Defense,Mino Martinazzoli,1989-07-22,1990-07-27
Italy,Defense,Virginio Rognoni,1990-07-27,1992-06-28
Italy,Defense,Salvo Andò,1992-06-28,1993-04-28
Italy,Defense,Fabio Fabbri,1993-04-28,1994-05-10
Italy,Defense,Cesare Previti,1994-05-10,1995-01-17
Italy,Defense,Domenico Corcione,1995-01-17,1996-05-17
Italy,Defense,Beniamino Andreatta,1996-05-17,1998-10-21
Italy,Defense,Carlo Scognamiglio,1998-10-21,1999-12-22
Italy,Defense,Sergio Mattarella,1999-12-22,2001-06-11
Italy,Defense,Antonio Martino,2001-06-11,2006-05-17
Italy,Defense,Arturo Parisi,2006-05-17,2008-05-08
Italy,Defense,Ignazio La Russa,2008-05-08,2011-11-16
Italy,Defense,Giampaolo Di Paola,2011-11-16,2013-04-28
Italy,Defense,Mario Mauro,2013-04-28,2014-02-22
Italy,Defense,Roberta Pinotti,2014-02-22,2018-06-01
Italy,Defense,Elisabetta Trenta,2018-06-01,2019-09-05
Italy,Defense,Lorenzo Guerini,2019-09-05,2022-10-22
Italy,Defense,Guido Crosetto,2022-10-22,Incumbent
