country,portfolio,name,start_date,end_date,dob,dod,cause_of_death,wikidata_id
Italy,Finance,Bruno Visentini,23 November 1974,12 February 1976,1914-08-01,1995-02-13,,Q3645960
Italy,Finance,Gaetano Stammati,12 February 1976,29 July 1976,1908-10-04,2002-02-11,,Q3757131
Italy,Finance,Filippo Maria Pandolfi,29 July 1976,11 March 1978,1927-11-01,2025-03-22,,Q1375084
Italy,Finance,Franco Maria Malfatti,11 March 1978,4 August 1979,1927-06-13,1991-12-10,,Q469478
Italy,Finance,Franco Reviglio,4 August 1979,28 June 1981,1935-02-03,2025-10-23,,Q3751546
Italy,Finance,Rino Formica,28 June 1981,1 December 1982,1927-03-01,,,Q3432264
Italy,Finance,Francesco Forte,1 December 1982,4 August 1983,,,,Q26869398
Italy,Finance,Bruno Visentini,4 August 1983,18 April 1987,1914-08-01,1995-02-13,,Q3645960
Italy,Finance,Giuseppe Guarino,18 April 1987,29 July 1987,,,,Q605183
Italy,Finance,Antonio Gava,29 July 1987,13 April 1988,1930-07-30,2008-08-08,,Q388031
Italy,Finance,Emilio Colombo,13 April 1988,22 July 1989,1920-04-11,2013-06-24,,Q312058
Italy,Finance,Rino Formica,22 July 1989,28 June 1992,1927-03-01,,,Q3432264
Italy,Finance,Giovanni Goria,28 June 1992,21 February 1993,1943-07-30,1994-05-21,lung cancer,Q336259
Italy,Finance,Franco Reviglio,21 February 1993,31 March 1993,1935-02-03,2025-10-23,,Q3751546
Italy,Finance,Giuliano Amato,31 March 1993,28 April 1993,1938-05-13,,,Q202209
Italy,Finance,Vincenzo Visco,28 April 1993,4 May 1993,1942-03-18,,,Q686194
Italy,Finance,Franco Gallo,4 May 1993,10 May 1994,1937-04-23,,,Q3751341
Italy,Finance,Giulio Tremonti,10 May 1994,17 January 1995,1947-08-18,,,Q732850
Italy,Finance,Augusto Fantozzi,17 January 1995,17 May 1996,1940-06-24,2019-07-13,,Q2871689
Italy,Finance,Vincenzo Visco,17 May 1996,25 April 2000,1942-03-18,,,Q686194
Italy,Finance,Ottaviano Del Turco,25 April 2000,10 June 2001,1944-11-07,2024-08-22,,Q1535927
Italy,Finance,Giulio Tremonti,11 June 2001,3 July 2004,1947-08-18,,,Q732850
Italy,Finance,Domenico Siniscalco,16 July 2004,22 September 2005,1954-07-15,,,Q451035
Italy,Finance,Giulio Tremonti,22 September 2005,8 May 2006,1947-08-18,,,Q732850
Italy,Finance,Tommaso Padoa-Schioppa,17 May 2006,8 May 2008,1940-07-23,2010-12-18,myocardial infarction,Q558991
Italy,Finance,Giulio Tremonti,8 May 2008,16 November 2011,1947-08-18,,,Q732850
Italy,Finance,Mario Monti,16 November 2011,11 July 2012,1943-03-19,,,Q47904
Italy,Finance,Vittorio Grilli,11 July 2012,28 April 2013,1957-05-19,,,Q1341209
Italy,Finance,Fabrizio Saccomanni,28 April 2013,24 February 2014,1942-11-22,2019-08-08,myocardial infarction,Q3738115
Italy,Finance,Pier Carlo Padoan,24 February 2014,1 June 2018,1950-01-19,,,Q15768223
Italy,Finance,Giovanni Tria,1 June 2018,5 September 2019,1948-09-28,,,Q54555492
Italy,Finance,Roberto Gualtieri,5 September 2019,13 February 2021,1966-07-19,,,Q948169
Italy,Finance,Daniele Franco,13 February 2021,22 October 2022,1953-06-07,,,Q105296748
Italy,Finance,Giancarlo Giorgetti,22 October 2022,Incumbent,1966-12-16,,,Q659163
