country,portfolio,name,start_date,end_date
Italy,Finance,Bruno Visentini,23 November 1974,12 February 1976
Italy,Finance,Gaetano Stammati,12 February 1976,29 July 1976
Italy,Finance,Filippo Maria Pandolfi,29 July 1976,11 March 1978
Italy,Finance,Franco Maria Malfatti,11 March 1978,4 August 1979
Italy,Finance,Franco Reviglio,4 August 1979,28 June 1981
Italy,Finance,Rino Formica,28 June 1981,1 December 1982
Italy,Finance,Francesco Forte,1 December 1982,4 August 1983
Italy,Finance,Bruno Visentini,4 August 1983,18 April 1987
Italy,Finance,Giuseppe Guarino,18 April 1987,29 July 1987
Italy,Finance,Antonio Gava,29 July 1987,13 April 1988
Italy,Finance,Emilio Colombo,13 April 1988,22 July 1989
Italy,Finance,Rino Formica,22 July 1989,28 June 1992
Italy,Finance,Giovanni Goria,28 June 1992,21 February 1993
Italy,Finance,Franco Reviglio,21 February 1993,31 March 1993
Italy,Finance,Giuliano Amato,31 March 1993,28 April 1993
Italy,Finance,Vincenzo Visco,28 April 1993,4 May 1993
Italy,Finance,Franco Gallo,4 May 1993,10 May 1994
Italy,Finance,Giulio Tremonti,10 May 1994,17 January 1995
Italy,Finance,Augusto Fantozzi,17 January 1995,17 May 1996
Italy,Finance,Vincenzo Visco,17 May 1996,25 April 2000
Italy,Finance,Ottaviano Del Turco,25 April 2000,10 June 2001
Italy,Finance,Giulio Tremonti,11 June 2001,3 July 2004
Italy,Finance,Domenico Siniscalco,16 July 2004,22 September 2005
Italy,Finance,Giulio Tremonti,22 September 2005,8 May 2006
Italy,Finance,Tommaso Padoa-Schioppa,17 May 2006,8 May 2008
Italy,Finance,Giulio Tremonti,8 May 2008,16 November 2011
Italy,Finance,Mario Monti,16 November 2011,11 July 2012
Italy,Finance,Vittorio Grilli,11 July 2012,28 April 2013
Italy,Finance,Fabrizio Saccomanni,28 April 2013,24 February 2014
Italy,Finance,Pier Carlo Padoan,24 February 2014,1 June 2018
Italy,Finance,Giovanni Tria,1 June 2018,5 September 2019
Italy,Finance,Roberto Gualtieri,5 September 2019,13 February 2021
Italy,Finance,Daniele Franco,13 February 2021,22 October 2022
Italy,Finance,Giancarlo Giorgetti,22 October 2022,Incumbent
