country,portfolio,name,start_date,end_date,dob,dod,cause_of_death,wikidata_id
Italy,Health,Antonio Pietro Gullotti,23 November 1974,12 February 1976,1922-01-14,1989-08-09,,Q3619102
Italy,Health,Luciano Dal Falco,12 February 1976,11 March 1978,1925-05-10,1992-12-20,,Q3838562
Italy,Health,Tina Anselmi,11 March 1978,4 August 1979,1927-03-25,2016-11-01,Parkinson's disease,Q1113992
Italy,Health,Renato Altissimo,4 August 1979,4 April 1980,1940-10-04,2015-04-17,,Q3932594
Italy,Health,Aldo Aniasi,4 April 1980,28 June 1981,1921-05-31,2005-08-27,,Q3609106
Italy,Health,Renato Altissimo,28 June 1981,4 August 1983,1940-10-04,2015-04-17,,Q3932594
Italy,Health,Costante Degan,4 August 1983,1 August 1986,1930-03-12,1988-07-01,,Q3695387
Italy,Health,Carlo Donat-Cattin,1 August 1986,22 July 1989,1919-06-26,1991-03-17,,Q3659287
Italy,Health,Francesco De Lorenzo,22 July 1989,21 February 1993,1938-06-05,,,Q3749879
Italy,Health,Raffaele Costa,21 February 1993,28 April 1993,1936-09-08,,,Q1055575
Italy,Health,Maria Pia Garavaglia,28 April 1993,10 May 1994,,,,Q37046105
Italy,Health,Raffaele Costa,10 May 1994,17 January 1995,1936-09-08,,,Q1055575
Italy,Health,Elio Guzzanti,17 January 1995,17 May 1996,1920-08-18,2014-05-02,,Q3723044
Italy,Health,Rosy Bindi,17 May 1996,25 April 2000,1951-02-12,,,Q466836
Italy,Health,Umberto Veronesi,25 April 2000,11 June 2001,1925-11-28,2016-11-08,,Q780378
Italy,Health,Girolamo Sirchia,11 June 2001,23 April 2005,1933-09-14,,,Q1851923
Italy,Health,Francesco Storace,23 April 2005,10 March 2006,1959-01-25,,,Q731150
Italy,Health,Silvio Berlusconi,11 March 2006,17 May 2006,1936-09-29,2023-06-12,chronic myelomonocytic leukemia,Q11860
Italy,Health,Livia Turco,17 May 2006,8 May 2008,1955-02-13,,,Q446016
Italy,Health,Maurizio Sacconi,8 May 2008,15 December 2009,1950-07-13,,,Q303466
Italy,Health,Ferruccio Fazio,15 December 2009,16 November 2011,1944-08-07,,,Q3069750
Italy,Health,Renato Balduzzi,16 November 2011,28 April 2013,1955-02-12,,,Q942871
Italy,Health,Beatrice Lorenzin,28 April 2013,1 June 2018,1971-10-14,,,Q3637263
Italy,Health,Giulia Grillo,1 June 2018,5 September 2019,1975-05-30,,,Q16560401
Italy,Health,Roberto Speranza,5 September 2019,22 October 2022,1979-01-04,,,Q8220404
Italy,Health,Orazio Schillaci,22 October 2022,Incumbent,1966-04-27,,,Q57615236
