country,portfolio,name,start_date,end_date
Italy,Health,Antonio Pietro Gullotti,23 November 1974,12 February 1976
Italy,Health,Luciano Dal Falco,12 February 1976,11 March 1978
Italy,Health,Tina Anselmi,11 March 1978,4 August 1979
Italy,Health,Renato Altissimo,4 August 1979,4 April 1980
Italy,Health,Aldo Aniasi,4 April 1980,28 June 1981
Italy,Health,Renato Altissimo,28 June 1981,4 August 1983
Italy,Health,Costante Degan,4 August 1983,1 August 1986
Italy,Health,Carlo Donat-Cattin,1 August 1986,22 July 1989
Italy,Health,Francesco De Lorenzo,22 July 1989,21 February 1993
Italy,Health,Raffaele Costa,21 February 1993,28 April 1993
Italy,Health,Maria Pia Garavaglia,28 April 1993,10 May 1994
Italy,Health,Raffaele Costa,10 May 1994,17 January 1995
Italy,Health,Elio Guzzanti,17 January 1995,17 May 1996
Italy,Health,Rosy Bindi,17 May 1996,25 April 2000
Italy,Health,Umberto Veronesi,25 April 2000,11 June 2001
Italy,Health,Girolamo Sirchia,11 June 2001,23 April 2005
Italy,Health,Francesco Storace,23 April 2005,10 March 2006
Italy,Health,Silvio Berlusconi,11 March 2006,17 May 2006
Italy,Health,Livia Turco,17 May 2006,8 May 2008
Italy,Health,Maurizio Sacconi,8 May 2008,15 December 2009
Italy,Health,Ferruccio Fazio,15 December 2009,16 November 2011
Italy,Health,Renato Balduzzi,16 November 2011,28 April 2013
Italy,Health,Beatrice Lorenzin,28 April 2013,1 June 2018
Italy,Health,Giulia Grillo,1 June 2018,5 September 2019
Italy,Health,Roberto Speranza,5 September 2019,22 October 2022
Italy,Health,Orazio Schillaci,22 October 2022,Incumbent
