country,portfolio,name,start_date,end_date,dob,dod,cause_of_death,wikidata_id
Italy,Interior,Luigi Gui,23 November 1974,12 February 1976,1914-09-26,2010-04-26,,Q1415906
Italy,Interior,Francesco Cossiga,12 February 1976,11 May 1978,1928-07-26,2010-08-17,,Q1230
Italy,Interior,Giulio Andreotti,11 May 1978,13 June 1978,1919-01-14,2013-05-06,acute respiratory distress syndrome,Q50005
Italy,Interior,Virginio Rognoni,13 June 1978,4 August 1983,1924-08-05,2022-09-20,,Q1748746
Italy,Interior,Oscar Luigi Scalfaro,4 August 1983,28 July 1987,1918-09-09,2012-01-29,,Q1228
Italy,Interior,Amintore Fanfani,28 July 1987,13 April 1988,1908-02-06,1999-11-20,,Q273228
Italy,Interior,Antonio Gava,13 April 1988,16 October 1990,1930-07-30,2008-08-08,,Q388031
Italy,Interior,Vincenzo Scotti,16 October 1990,28 June 1992,1933-09-16,,,Q1695842
Italy,Interior,Nicola Mancino,28 June 1992,19 April 1994,1931-10-15,,,Q1428924
Italy,Interior,Carlo Azeglio Ciampi,19 April 1994,10 May 1994,1920-12-09,2016-09-16,pneumonia,Q1224
Italy,Interior,Roberto Maroni,10 May 1994,17 January 1995,1955-03-15,2022-11-22,,Q562097
Italy,Interior,Antonio Brancaccio,17 January 1995,8 June 1995,1923-08-26,1995-08-26,cancer,Q515993
Italy,Interior,Giovanni Rinaldo Coronas,8 June 1995,17 May 1996,1919-04-10,2008-01-05,,Q729862
Italy,Interior,Giorgio Napolitano,17 May 1996,21 October 1998,1925-06-29,2023-09-22,,Q1220
Italy,Interior,Rosa Russo Iervolino,21 October 1998,22 December 1999,1936-09-17,,,Q452164
Italy,Interior,Enzo Bianco,22 December 1999,11 June 2001,1951-02-24,,,Q1346089
Italy,Interior,Claudio Scajola,11 June 2001,3 July 2002,1948-01-15,,,Q1098169
Italy,Interior,Giuseppe Pisanu,3 July 2002,17 May 2006,1937-01-02,,,Q738585
Italy,Interior,Giuliano Amato,17 May 2006,8 May 2008,1938-05-13,,,Q202209
Italy,Interior,Roberto Maroni,8 May 2008,16 November 2011,1955-03-15,2022-11-22,,Q562097
Italy,Interior,Annamaria Cancellieri,16 November 2011,28 April 2013,1943-10-22,,,Q291249
Italy,Interior,Angelino Alfano,28 April 2013,12 December 2016,1970-10-31,,,Q535055
Italy,Interior,Marco Minniti,12 December 2016,1 June 2018,1956-06-06,,,Q3557346
Italy,Interior,Matteo Salvini,1 June 2018,5 September 2019,1973-03-09,,,Q1055449
Italy,Interior,Luciana Lamorgese,5 September 2019,22 October 2022,1953-09-11,,,Q67129448
Italy,Interior,Matteo Piantedosi,22 October 2022,Incumbent,1963-04-20,,,Q114796723
