country,portfolio,name,start_date,end_date
Italy,Interior,Luigi Gui,23 November 1974,12 February 1976
Italy,Interior,Francesco Cossiga,12 February 1976,11 May 1978
Italy,Interior,Giulio Andreotti,11 May 1978,13 June 1978
Italy,Interior,Virginio Rognoni,13 June 1978,4 August 1983
Italy,Interior,Oscar Luigi Scalfaro,4 August 1983,28 July 1987
Italy,Interior,Amintore Fanfani,28 July 1987,13 April 1988
Italy,Interior,Antonio Gava,13 April 1988,16 October 1990
Italy,Interior,Vincenzo Scotti,16 October 1990,28 June 1992
Italy,Interior,Nicola Mancino,28 June 1992,19 April 1994
Italy,Interior,Carlo Azeglio Ciampi,19 April 1994,10 May 1994
Italy,Interior,Roberto Maroni,10 May 1994,17 January 1995
Italy,Interior,Antonio Brancaccio,17 January 1995,8 June 1995
Italy,Interior,Giovanni Rinaldo Coronas,8 June 1995,17 May 1996
Italy,Interior,Giorgio Napolitano,17 May 1996,21 October 1998
Italy,Interior,Rosa Russo Iervolino,21 October 1998,22 December 1999
Italy,Interior,Enzo Bianco,22 December 1999,11 June 2001
Italy,Interior,Claudio Scajola,11 June 2001,3 July 2002
Italy,Interior,Giuseppe Pisanu,3 July 2002,17 May 2006
Italy,Interior,Giuliano Amato,17 May 2006,8 May 2008
Italy,Interior,Roberto Maroni,8 May 2008,16 November 2011
Italy,Interior,Annamaria Cancellieri,16 November 2011,28 April 2013
Italy,Interior,Angelino Alfano,28 April 2013,12 December 2016
Italy,Interior,Marco Minniti,12 December 2016,1 June 2018
Italy,Interior,Matteo Salvini,1 June 2018,5 September 2019
Italy,Interior,Luciana Lamorgese,5 September 2019,22 October 2022
Italy,Interior,Matteo Piantedosi,22 October 2022,Incumbent
