country,portfolio,name,start_date,end_date,dob,dod,cause_of_death,wikidata_id
Italy,Transport,Mario Martinelli,1974-11-23,1976-07-29,1906-05-12,2001-05-21,,Q17490296
Italy,Transport,Attilio Ruffini,1976-07-29,1977-09-18,1924-12-28,2011-06-23,,Q492720
Italy,Transport,Vittorio Lattanzio,1977-09-18,1978-03-11,1926-10-31,2010-10-31,,Q503677
Italy,Transport,Vittorino Colombo,1978-03-11,1979-03-20,1925-04-03,1996-06-01,,Q2528845
Italy,Transport,Luigi Preti,1979-03-20,1980-04-04,1914-10-23,2009-01-09,,Q3840053
Italy,Transport,Rino Formica,1980-04-04,1981-07-28,1927-03-01,,,Q3432264
Italy,Transport,Vincenzo Balzamo,1981-07-28,1982-12-01,1929-04-03,1992-11-02,myocardial infarction,Q4013092
Italy,Transport,Mario Casalinuovo,1982-12-01,1983-08-04,1922-05-18,2018-07-14,Parkinson's disease,Q3848420
Italy,Transport,Claudio Signorile,1983-08-04,1987-04-17,1937-09-09,,,Q3680233
Italy,Transport,Giovanni Travaglini,1987-04-17,1987-07-28,,,,Q6574696
Italy,Transport,Calogero Mannino,1987-07-28,1988-04-13,1939-08-20,,,Q2934352
Italy,Transport,Giorgio Santuz,1988-04-13,1989-07-22,1939-09-03,,,Q2246855
Italy,Transport,Carlo Bernini,1989-07-22,1992-07-28,1936-05-06,2011-01-01,,Q3659068
Italy,Transport,Giancarlo Tesini,1992-07-28,1993-04-28,1929-02-05,2023-12-22,,Q3762977
Italy,Transport,Raffaele Costa,1993-04-28,1994-05-10,1936-09-08,,,Q1055575
Italy,Transport,Publio Fiori,1994-05-10,1995-01-17,1938-03-25,2024-07-16,,Q3925320
Italy,Transport,Giovanni Caravale,1995-01-17,1996-05-18,1935-08-18,1997-05-29,,Q3766954
Italy,Transport,Claudio Burlando,1996-05-18,1998-10-21,1954-04-27,,,Q546288
Italy,Transport,Tiziano Treu,1998-10-21,1999-12-22,1939-08-22,,,Q3992012
Italy,Transport,Pier Luigi Bersani,1999-12-22,2001-06-11,1951-09-29,,,Q47556
Italy,Transport,Pietro Lunardi,2001-06-11,2006-05-17,1939-07-19,,,Q1055104
Italy,Transport,Alessandro Bianchi,2006-05-17,2008-05-08,,,,Q396352
Italy,Transport,Altero Matteoli,2008-05-08,2011-11-16,1940-09-08,2017-12-18,traffic collision,Q438845
Italy,Transport,Corrado Passera,2011-11-16,2013-04-28,1954-12-30,,,Q1135246
Italy,Transport,Maurizio Lupi,2013-04-28,2015-03-20,1959-10-03,,,Q3852636
Italy,Transport,Graziano Delrio,2015-04-02,2018-06-01,1960-04-27,,,Q3776019
Italy,Transport,Danilo Toninelli,2018-06-01,2019-09-05,1974-08-02,,,Q15972657
Italy,Transport,Paola De Micheli,2019-09-05,2021-02-13,1973-09-01,,,Q3893547
Italy,Transport,Enrico Giovannini,2021-02-13,2022-10-22,1957-06-06,,,Q3725799
Italy,Transport,Matteo Salvini,2022-10-22,Incumbent,1973-03-09,,,Q1055449
