country,portfolio,name,start_date,end_date
Italy,Transport,Mario Martinelli,1974-11-23,1976-07-29
Italy,Transport,Attilio Ruffini,1976-07-29,1977-09-18
Italy,Transport,Vittorio Lattanzio,1977-09-18,1978-03-11
Italy,Transport,Vittorino Colombo,1978-03-11,1979-03-20
Italy,Transport,Luigi Preti,1979-03-20,1980-04-04
Italy,Transport,Rino Formica,1980-04-04,1981-07-28
Italy,Transport,Vincenzo Balzamo,1981-07-28,1982-12-01
Italy,Transport,Mario Casalinuovo,1982-12-01,1983-08-04
Italy,Transport,Claudio Signorile,1983-08-04,1987-04-17
Italy,Transport,Giovanni Travaglini,1987-04-17,1987-07-28
Italy,Transport,Calogero Mannino,1987-07-28,1988-04-13
Italy,Transport,Giorgio Santuz,1988-04-13,1989-07-22
Italy,Transport,Carlo Bernini,1989-07-22,1992-07-28
Italy,Transport,Giancarlo Tesini,1992-07-28,1993-04-28
Italy,Transport,Raffaele Costa,1993-04-28,1994-05-10
Italy,Transport,Publio Fiori,1994-05-10,1995-01-17
Italy,Transport,Giovanni Caravale,1995-01-17,1996-05-18
Italy,Transport,Claudio Burlando,1996-05-18,1998-10-21
Italy,Transport,Tiziano Treu,1998-10-21,1999-12-22
Italy,Transport,Pier Luigi Bersani,1999-12-22,2001-06-11
Italy,Transport,Pietro Lunardi,2001-06-11,2006-05-17
Italy,Transport,Alessandro Bianchi,2006-05-17,2008-05-08
Italy,Transport,Altero Matteoli,2008-05-08,2011-11-16
Italy,Transport,Corrado Passera,2011-11-16,2013-04-28
Italy,Transport,Maurizio Lupi,2013-04-28,2015-03-20
Italy,Transport,Graziano Delrio,2015-04-02,2018-06-01
Italy,Transport,Danilo Toninelli,2018-06-01,2019-09-05
Italy,Transport,Paola De Micheli,2019-09-05,2021-02-13
Italy,Transport,Enrico Giovannini,2021-02-13,2022-10-22
Italy,Transport,Matteo Salvini,2022-10-22,Incumbent
