country,portfolio,name,start_date,end_date,dob,dod,cause_of_death,wikidata_id
Netherlands,Defense,Henk Vredeling,11 May 1973,31 December 1976,1924-11-20,2007-10-27,,Q571412
Netherlands,Defense,Bram Stemerdink,31 December 1976,19 December 1977,1936-03-06,,,Q4956074
Netherlands,Defense,Roelof Kruisinga,19 December 1977,4 March 1978,1922-08-27,2012-12-07,,Q2721875
Netherlands,Defense,Jan de Koning,4 March 1978,8 March 1978,,,,Q1940740
Netherlands,Defense,Willem Scholten,8 March 1978,25 August 1980,1927-06-01,2005-01-01,,Q321290
Netherlands,Defense,Pieter de Geus,25 August 1980,11 September 1981,1929-02-23,2004-05-05,,Q2803254
Netherlands,Defense,Hans van Mierlo,11 September 1981,4 November 1982,1931-08-18,2010-03-11,liver disease,Q288771
Netherlands,Defense,Job de Ruiter,4 November 1982,14 July 1986,1930-04-30,2015-10-04,,Q2509980
Netherlands,Defense,Wim van Eekelen,14 July 1986,6 September 1988,1931-02-05,2025-06-25,,Q3501388
Netherlands,Defense,Piet Bukman,6 September 1988,24 September 1988,1934-02-07,2022-03-15,,Q2071314
Netherlands,Defense,Frits Bolkestein,24 September 1988,7 November 1989,1933-04-04,2025-02-17,,Q561186
Netherlands,Defense,Relus ter Beek,7 November 1989,6 February 1991,1944-01-18,2008-09-29,lung cancer,Q1960146
Netherlands,Defense,Jan Pronk,6 February 1991,3 March 1991,1940-03-16,,,Q1348244
Netherlands,Defense,Relus ter Beek,3 March 1991,22 August 1994,1944-01-18,2008-09-29,lung cancer,Q1960146
Netherlands,Defense,Joris Voorhoeve,22 August 1994,3 August 1998,1945-12-22,,,Q2680178
Netherlands,Defense,Frank de Grave,3 August 1998,22 July 2002,1955-06-27,,,Q2320629
Netherlands,Defense,Benk Korthals,22 July 2002,12 December 2002,1944-10-05,,,Q2356486
Netherlands,Defense,Henk Kamp,12 December 2002,22 February 2007,1952-07-23,,,Q732818
Netherlands,Defense,Eimert van Middelkoop,22 February 2007,14 October 2010,1949-02-14,,,Q952623
Netherlands,Defense,Hans Hillen,14 October 2010,5 November 2012,1947-06-17,,,Q466569
Netherlands,Defense,Jeanine Hennis-Plasschaert,5 November 2012,4 October 2017,1973-04-07,,,Q457884
Netherlands,Defense,Klaas Dijkhoff,4 October 2017,26 October 2017,1981-01-13,,,Q2784118
Netherlands,Defense,Ank Bijleveld,26 October 2017,17 September 2021,1962-03-17,,,Q434816
Netherlands,Defense,Ferdinand Grapperhaus,17 September 2021,24 September 2021,1959-11-08,,,Q2195581
Netherlands,Defense,Henk Kamp,24 September 2021,10 January 2022,1952-07-23,,,Q732818
Netherlands,Defense,Kajsa Ollongren,10 January 2022,2 July 2024,1967-05-28,,,Q2776715
Netherlands,Defense,Ruben Brekelmans,2 July 2024,23 February 2026,1986-07-18,,,Q106119770
Netherlands,Defense,Dilan Yeşilgöz,23 February 2026,Incumbent,1977-06-18,,,Q28861002
