country,portfolio,name,start_date,end_date
Netherlands,Defense,Henk Vredeling,11 May 1973,31 December 1976
Netherlands,Defense,Bram Stemerdink,31 December 1976,19 December 1977
Netherlands,Defense,Roelof Kruisinga,19 December 1977,4 March 1978
Netherlands,Defense,Jan de Koning,4 March 1978,8 March 1978
Netherlands,Defense,Willem Scholten,8 March 1978,25 August 1980
Netherlands,Defense,Pieter de Geus,25 August 1980,11 September 1981
Netherlands,Defense,Hans van Mierlo,11 September 1981,4 November 1982
Netherlands,Defense,Job de Ruiter,4 November 1982,14 July 1986
Netherlands,Defense,Wim van Eekelen,14 July 1986,6 September 1988
Netherlands,Defense,Piet Bukman,6 September 1988,24 September 1988
Netherlands,Defense,Frits Bolkestein,24 September 1988,7 November 1989
Netherlands,Defense,Relus ter Beek,7 November 1989,6 February 1991
Netherlands,Defense,Jan Pronk,6 February 1991,3 March 1991
Netherlands,Defense,Relus ter Beek,3 March 1991,22 August 1994
Netherlands,Defense,Joris Voorhoeve,22 August 1994,3 August 1998
Netherlands,Defense,Frank de Grave,3 August 1998,22 July 2002
Netherlands,Defense,Benk Korthals,22 July 2002,12 December 2002
Netherlands,Defense,Henk Kamp,12 December 2002,22 February 2007
Netherlands,Defense,Eimert van Middelkoop,22 February 2007,14 October 2010
Netherlands,Defense,Hans Hillen,14 October 2010,5 November 2012
Netherlands,Defense,Jeanine Hennis-Plasschaert,5 November 2012,4 October 2017
Netherlands,Defense,Klaas Dijkhoff,4 October 2017,26 October 2017
Netherlands,Defense,Ank Bijleveld,26 October 2017,17 September 2021
Netherlands,Defense,Ferdinand Grapperhaus,17 September 2021,24 September 2021
Netherlands,Defense,Henk Kamp,24 September 2021,10 January 2022
Netherlands,Defense,Kajsa Ollongren,10 January 2022,2 July 2024
Netherlands,Defense,Ruben Brekelmans,2 July 2024,23 February 2026
Netherlands,Defense,Dilan Yeşilgöz,23 February 2026,Incumbent
