country,portfolio,name,start_date,end_date,dob,dod,cause_of_death,wikidata_id
Netherlands,Health,Irene Vorrink,11 May 1973,19 December 1977,1918-01-07,1996-08-21,,Q2520762
Netherlands,Health,Leendert Ginjaar,19 December 1977,11 September 1981,1928-05-28,2003-09-17,,Q2499321
Netherlands,Health,Til Gardeniers-Berendsen,11 September 1981,4 November 1982,1925-02-18,2019-10-22,,Q2188519
Netherlands,Health,Elco Brinkman,4 November 1982,7 November 1989,1948-02-05,,,Q3147680
Netherlands,Health,Hedy d'Ancona,7 November 1989,16 July 1994,1937-10-01,,,Q2406653
Netherlands,Health,Jo Ritzen,16 July 1994,22 August 1994,1945-10-03,,,Q364938
Netherlands,Health,Els Borst,22 August 1994,22 July 2002,1932-03-22,2014-02-10,stabbing,Q274029
Netherlands,Health,Eduard Bomhoff,22 July 2002,16 October 2002,1944-09-30,,,Q3048274
Netherlands,Health,Aart Jan de Geus,16 October 2002,27 May 2003,1955-07-28,,,Q2253354
Netherlands,Health,Hans Hoogervorst,27 May 2003,22 February 2007,1956-04-19,,,Q463659
Netherlands,Health,Ab Klink,22 February 2007,14 October 2010,1958-11-02,,,Q303926
Netherlands,Health,Edith Schippers,14 October 2010,26 October 2017,1964-08-25,,,Q467604
Netherlands,Health,Hugo de Jonge,26 October 2017,10 January 2022,1977-09-26,,,Q2649226
Netherlands,Health,Ernst Kuipers,10 January 2022,10 January 2024,1959-01-01,,,Q39447567
Netherlands,Health,Conny Helder,10 January 2024,2 July 2024,1958-11-27,,,Q110316953
Netherlands,Health,Fleur Agema,2 July 2024,3 June 2025,1976-09-16,,,Q467982
Netherlands,Health,Eddy van Hijum,3 June 2025,19 June 2025,1972-04-17,,,Q3029970
Netherlands,Health,Daniëlle Jansen,19 June 2025,22 August 2025,1970-09-29,,,Q123173931
Netherlands,Health,Robert Tieman,22 August 2025,5 September 2025,1976-01-01,,,Q135009707
Netherlands,Health,Jan Anthonie Bruijn,5 September 2025,23 February 2026,1958-02-07,,,Q1899440
Netherlands,Health,Sophie Hermans,23 February 2026,Incumbent,1981-05-01,,,Q28860996
