country,portfolio,name,start_date,end_date
Netherlands,Health,Irene Vorrink,11 May 1973,19 December 1977
Netherlands,Health,Leendert Ginjaar,19 December 1977,11 September 1981
Netherlands,Health,Til Gardeniers-Berendsen,11 September 1981,4 November 1982
Netherlands,Health,Elco Brinkman,4 November 1982,7 November 1989
Netherlands,Health,Hedy d'Ancona,7 November 1989,16 July 1994
Netherlands,Health,Jo Ritzen,16 July 1994,22 August 1994
Netherlands,Health,Els Borst,22 August 1994,22 July 2002
Netherlands,Health,Eduard Bomhoff,22 July 2002,16 October 2002
Netherlands,Health,Aart Jan de Geus,16 October 2002,27 May 2003
Netherlands,Health,Hans Hoogervorst,27 May 2003,22 February 2007
Netherlands,Health,Ab Klink,22 February 2007,14 October 2010
Netherlands,Health,Edith Schippers,14 October 2010,26 October 2017
Netherlands,Health,Hugo de Jonge,26 October 2017,10 January 2022
Netherlands,Health,Ernst Kuipers,10 January 2022,10 January 2024
Netherlands,Health,Conny Helder,10 January 2024,2 July 2024
Netherlands,Health,Fleur Agema,2 July 2024,3 June 2025
Netherlands,Health,Eddy van Hijum,3 June 2025,19 June 2025
Netherlands,Health,Daniëlle Jansen,19 June 2025,22 August 2025
Netherlands,Health,Robert Tieman,22 August 2025,5 September 2025
Netherlands,Health,Jan Anthonie Bruijn,5 September 2025,23 February 2026
Netherlands,Health,Sophie Hermans,23 February 2026,Incumbent
