country,portfolio,name,start_date,end_date,dob,dod,cause_of_death,wikidata_id
Netherlands,Interior,Gaius de Gaay Fortman,11 May 1973,19 December 1977,1911-05-08,1997-03-29,,Q2482756
Netherlands,Interior,Hans Wiegel,19 December 1977,11 September 1981,1941-07-16,2025-05-19,,Q2530306
Netherlands,Interior,Ed van Thijn,11 September 1981,29 May 1982,1934-08-16,2021-12-19,,Q607189
Netherlands,Interior,Max Rood,29 May 1982,4 November 1982,1927-08-21,2001-12-02,,Q1818265
Netherlands,Interior,Koos Rietkerk,4 November 1982,20 February 1986,1927-12-14,1986-02-20,heart failure,Q2316602
Netherlands,Interior,Frits Korthals Altes,20 February 1986,12 March 1986,1931-05-15,2025-02-19,,Q457706
Netherlands,Interior,Rudolf de Korte,12 March 1986,14 July 1986,1936-07-08,2020-01-09,,Q2274198
Netherlands,Interior,Kees van Dijk,14 July 1986,26 January 1987,1931-07-25,2008-12-29,,Q2393762
Netherlands,Interior,Frits Korthals Altes,26 January 1987,3 February 1987,1931-05-15,2025-02-19,,Q457706
Netherlands,Interior,Jan de Koning,3 February 1987,6 May 1987,,,,Q1940740
Netherlands,Interior,Kees van Dijk,6 May 1987,7 November 1989,1931-07-25,2008-12-29,,Q2393762
Netherlands,Interior,Ien Dales,7 November 1989,10 January 1994,1931-10-18,1994-01-10,,Q2373290
Netherlands,Interior,Ernst Hirsch Ballin,10 January 1994,18 January 1994,1950-12-15,,,Q1358714
Netherlands,Interior,Ed van Thijn,18 January 1994,27 May 1994,1934-08-16,2021-12-19,,Q607189
Netherlands,Interior,Dieuwke de Graaff-Nauta,27 May 1994,22 August 1994,1930-05-22,2008-06-10,,Q4713904
Netherlands,Interior,Hans Dijkstal,22 August 1994,3 August 1998,1943-02-28,2010-05-09,bone cancer,Q1579239
Netherlands,Interior,Bram Peper,3 August 1998,13 March 2000,1940-02-13,2022-08-20,,Q466862
Netherlands,Interior,Roger van Boxtel,13 March 2000,24 March 2000,1954-02-08,,,Q3439649
Netherlands,Interior,Klaas de Vries,24 March 2000,22 July 2002,,,,Q1126703
Netherlands,Interior,Johan Remkes,22 July 2002,22 February 2007,1951-06-15,,,Q465538
Netherlands,Interior,Guusje ter Horst,22 February 2007,23 February 2010,1952-03-22,,,Q459504
Netherlands,Interior,Ernst Hirsch Ballin,23 February 2010,14 October 2010,1950-12-15,,,Q1358714
Netherlands,Interior,Piet Hein Donner,14 October 2010,16 December 2011,1948-10-20,,,Q983081
Netherlands,Interior,Liesbeth Spies,16 December 2011,5 November 2012,1966-04-06,,,Q440235
Netherlands,Interior,Ronald Plasterk,5 November 2012,29 June 2016,1957-04-12,,,Q301395
Netherlands,Interior,Stef Blok,29 June 2016,16 September 2016,1964-12-10,,,Q2858481
Netherlands,Interior,Ronald Plasterk,16 September 2016,26 October 2017,1957-04-12,,,Q301395
Netherlands,Interior,Kajsa Ollongren,26 October 2017,1 November 2019,1967-05-28,,,Q2776715
Netherlands,Interior,Raymond Knops,1 November 2019,14 April 2020,1971-11-10,,,Q2125339
Netherlands,Interior,Kajsa Ollongren,14 April 2020,10 January 2022,1967-05-28,,,Q2776715
Netherlands,Interior,Hanke Bruins Slot,10 January 2022,5 September 2023,1977-10-20,,,Q5165280
Netherlands,Interior,Hugo de Jonge,5 September 2023,2 July 2024,1977-09-26,,,Q2649226
Netherlands,Interior,Judith Uitermark,2 July 2024,22 August 2025,1971-09-20,,,Q123174008
Netherlands,Interior,Frank Rijkaart,5 September 2025,23 February 2026,1978-01-07,,,Q135491576
Netherlands,Interior,Pieter Heerma,23 February 2026,Incumbent,1977-08-05,,,Q94234
