country,portfolio,name,start_date,end_date
Netherlands,Interior,Gaius de Gaay Fortman,11 May 1973,19 December 1977
Netherlands,Interior,Hans Wiegel,19 December 1977,11 September 1981
Netherlands,Interior,Ed van Thijn,11 September 1981,29 May 1982
Netherlands,Interior,Max Rood,29 May 1982,4 November 1982
Netherlands,Interior,Koos Rietkerk,4 November 1982,20 February 1986
Netherlands,Interior,Frits Korthals Altes,20 February 1986,12 March 1986
Netherlands,Interior,Rudolf de Korte,12 March 1986,14 July 1986
Netherlands,Interior,Kees van Dijk,14 July 1986,26 January 1987
Netherlands,Interior,Frits Korthals Altes,26 January 1987,3 February 1987
Netherlands,Interior,Jan de Koning,3 February 1987,6 May 1987
Netherlands,Interior,Kees van Dijk,6 May 1987,7 November 1989
Netherlands,Interior,Ien Dales,7 November 1989,10 January 1994
Netherlands,Interior,Ernst Hirsch Ballin,10 January 1994,18 January 1994
Netherlands,Interior,Ed van Thijn,18 January 1994,27 May 1994
Netherlands,Interior,Dieuwke de Graaff-Nauta,27 May 1994,22 August 1994
Netherlands,Interior,Hans Dijkstal,22 August 1994,3 August 1998
Netherlands,Interior,Bram Peper,3 August 1998,13 March 2000
Netherlands,Interior,Roger van Boxtel,13 March 2000,24 March 2000
Netherlands,Interior,Klaas de Vries,24 March 2000,22 July 2002
Netherlands,Interior,Johan Remkes,22 July 2002,22 February 2007
Netherlands,Interior,Guusje ter Horst,22 February 2007,23 February 2010
Netherlands,Interior,Ernst Hirsch Ballin,23 February 2010,14 October 2010
Netherlands,Interior,Piet Hein Donner,14 October 2010,16 December 2011
Netherlands,Interior,Liesbeth Spies,16 December 2011,5 November 2012
Netherlands,Interior,Ronald Plasterk,5 November 2012,29 June 2016
Netherlands,Interior,Stef Blok,29 June 2016,16 September 2016
Netherlands,Interior,Ronald Plasterk,16 September 2016,26 October 2017
Netherlands,Interior,Kajsa Ollongren,26 October 2017,1 November 2019
Netherlands,Interior,Raymond Knops,1 November 2019,14 April 2020
Netherlands,Interior,Kajsa Ollongren,14 April 2020,10 January 2022
Netherlands,Interior,Hanke Bruins Slot,10 January 2022,5 September 2023
Netherlands,Interior,Hugo de Jonge,5 September 2023,2 July 2024
Netherlands,Interior,Judith Uitermark,2 July 2024,22 August 2025
Netherlands,Interior,Frank Rijkaart,5 September 2025,23 February 2026
Netherlands,Interior,Pieter Heerma,23 February 2026,Incumbent
