country,portfolio,name,start_date,end_date,dob,dod,cause_of_death,wikidata_id
Netherlands,Transport,Tjerk Westerterp,11 May 1973,19 December 1977,1930-12-02,2023-10-07,,Q2233140
Netherlands,Transport,Dany Tuijnman,19 December 1977,11 September 1981,1915-04-16,1992-04-25,,Q2268178
Netherlands,Transport,Henk Zeevalking,11 September 1981,4 November 1982,1922-06-07,2005-02-23,,Q1605275
Netherlands,Transport,Neelie Kroes,4 November 1982,7 November 1989,1941-07-19,,,Q234485
Netherlands,Transport,Hanja Maij-Weggen,7 November 1989,16 July 1994,1943-12-29,,,Q460753
Netherlands,Transport,Koos Andriessen,16 July 1994,22 August 1994,1928-07-25,2019-01-22,Parkinson's disease,Q2102702
Netherlands,Transport,Annemarie Jorritsma,22 August 1994,3 August 1998,1950-06-01,,,Q447079
Netherlands,Transport,Tineke Netelenbos,3 August 1998,22 July 2002,1944-02-15,,,Q628373
Netherlands,Transport,Roelf de Boer,22 July 2002,27 May 2003,1949-10-09,,,Q2381889
Netherlands,Transport,Karla Peijs,27 May 2003,22 February 2007,1944-09-01,,,Q2289660
Netherlands,Transport,Camiel Eurlings,22 February 2007,14 October 2010,1973-09-16,,,Q1028887
Netherlands,Transport,Melanie Schultz van Haegen,14 October 2010,26 October 2017,1970-06-28,,,Q435886
Netherlands,Transport,Cora van Nieuwenhuizen,26 October 2017,31 August 2021,1963-06-12,,,Q2464817
Netherlands,Transport,Barbara Visser,31 August 2021,10 January 2022,1977-08-16,,,Q1397858
Netherlands,Transport,Mark Harbers,10 January 2022,2 July 2024,1969-04-19,,,Q2257536
Netherlands,Transport,Barry Madlener,2 July 2024,3 June 2025,1969-01-06,,,Q545023
Netherlands,Transport,Sophie Hermans,3 June 2025,19 June 2025,1981-05-01,,,Q28860996
Netherlands,Transport,Robert Tieman,19 June 2025,23 February 2026,1976-01-01,,,Q135009707
Netherlands,Transport,Vincent Karremans,23 February 2026,Incumbent,1986-11-12,,,Q101579497
