country,portfolio,name,start_date,end_date
Netherlands,Transport,Tjerk Westerterp,11 May 1973,19 December 1977
Netherlands,Transport,Dany Tuijnman,19 December 1977,11 September 1981
Netherlands,Transport,Henk Zeevalking,11 September 1981,4 November 1982
Netherlands,Transport,Neelie Kroes,4 November 1982,7 November 1989
Netherlands,Transport,Hanja Maij-Weggen,7 November 1989,16 July 1994
Netherlands,Transport,Koos Andriessen,16 July 1994,22 August 1994
Netherlands,Transport,Annemarie Jorritsma,22 August 1994,3 August 1998
Netherlands,Transport,Tineke Netelenbos,3 August 1998,22 July 2002
Netherlands,Transport,Roelf de Boer,22 July 2002,27 May 2003
Netherlands,Transport,Karla Peijs,27 May 2003,22 February 2007
Netherlands,Transport,Camiel Eurlings,22 February 2007,14 October 2010
Netherlands,Transport,Melanie Schultz van Haegen,14 October 2010,26 October 2017
Netherlands,Transport,Cora van Nieuwenhuizen,26 October 2017,31 August 2021
Netherlands,Transport,Barbara Visser,31 August 2021,10 January 2022
Netherlands,Transport,Mark Harbers,10 January 2022,2 July 2024
Netherlands,Transport,Barry Madlener,2 July 2024,3 June 2025
Netherlands,Transport,Sophie Hermans,3 June 2025,19 June 2025
Netherlands,Transport,Robert Tieman,19 June 2025,23 February 2026
Netherlands,Transport,Vincent Karremans,23 February 2026,Incumbent
