country,portfolio,name,start_date,end_date,dob,dod,cause_of_death,wikidata_id
Norway,Defense,Alv Jakob Fostervoll,16 October 1973,15 January 1976,1932-01-20,2015-06-15,,Q11957623
Norway,Defense,Rolf Arthur Hansen,15 January 1976,8 October 1979,1920-07-23,2006-07-26,,Q7360692
Norway,Defense,Thorvald Stoltenberg,8 October 1979,14 October 1981,1931-07-08,2018-07-13,,Q377977
Norway,Defense,Anders C. Sjaastad,14 October 1981,25 April 1986,1942-02-21,,,Q4587854
Norway,Defense,Rolf Presthus,25 April 1986,9 May 1986,1936-07-29,1988-01-01,,Q322184
Norway,Defense,Johan Jørgen Holst,9 May 1986,16 October 1989,1937-11-29,1994-01-13,,Q1632540
Norway,Defense,Per Ditlev-Simonsen,16 October 1989,3 November 1990,1932-06-12,,,Q3121951
Norway,Defense,Johan Jørgen Holst,3 November 1990,2 April 1993,1937-11-29,1994-01-13,,Q1632540
Norway,Defense,Jørgen Kosmo,2 April 1993,17 October 1997,1947-12-05,2017-07-24,pancreatic cancer,Q1350827
Norway,Defense,Dag Jostein Fjærvoll,17 October 1997,15 March 1999,1947-01-20,2021-02-05,,Q1157167
Norway,Defense,Eldbjørg Løwer,15 March 1999,17 March 2000,1943-07-14,,,Q446348
Norway,Defense,Bjørn Tore Godal,17 March 2000,19 October 2001,1945-01-20,,,Q706467
Norway,Defense,Kristin Krohn Devold,19 October 2001,17 October 2005,1961-08-12,,,Q463717
Norway,Defense,Anne-Grete Strøm-Erichsen,17 October 2005,20 October 2009,1949-10-21,,,Q291598
Norway,Defense,Grete Faremo,20 October 2009,11 November 2011,1955-06-16,,,Q446445
Norway,Defense,Espen Barth Eide,11 November 2011,21 September 2012,1964-05-01,,,Q267320
Norway,Defense,Anne-Grete Strøm-Erichsen,21 September 2012,16 October 2013,1949-10-21,,,Q291598
Norway,Defense,Ine Eriksen Søreide,16 October 2013,20 October 2017,1976-05-02,,,Q1770992
Norway,Defense,Frank Bakke-Jensen,20 October 2017,14 October 2021,1965-03-08,,,Q1799849
Norway,Defense,Odd Roger Enoksen,14 October 2021,12 April 2022,1954-09-25,,,Q1367573
Norway,Defense,Bjørn Arild Gram,12 April 2022,4 February 2025,1972-05-07,,,Q4919832
Norway,Defense,Tore O. Sandvik,4 February 2025,Incumbent,1969-08-31,,,Q4579434
