country,portfolio,name,start_date,end_date
Norway,Defense,Alv Jakob Fostervoll,16 October 1973,15 January 1976
Norway,Defense,Rolf Arthur Hansen,15 January 1976,8 October 1979
Norway,Defense,Thorvald Stoltenberg,8 October 1979,14 October 1981
Norway,Defense,Anders C. Sjaastad,14 October 1981,25 April 1986
Norway,Defense,Rolf Presthus,25 April 1986,9 May 1986
Norway,Defense,Johan Jørgen Holst,9 May 1986,16 October 1989
Norway,Defense,Per Ditlev-Simonsen,16 October 1989,3 November 1990
Norway,Defense,Johan Jørgen Holst,3 November 1990,2 April 1993
Norway,Defense,Jørgen Kosmo,2 April 1993,17 October 1997
Norway,Defense,Dag Jostein Fjærvoll,17 October 1997,15 March 1999
Norway,Defense,Eldbjørg Løwer,15 March 1999,17 March 2000
Norway,Defense,Bjørn Tore Godal,17 March 2000,19 October 2001
Norway,Defense,Kristin Krohn Devold,19 October 2001,17 October 2005
Norway,Defense,Anne-Grete Strøm-Erichsen,17 October 2005,20 October 2009
Norway,Defense,Grete Faremo,20 October 2009,11 November 2011
Norway,Defense,Espen Barth Eide,11 November 2011,21 September 2012
Norway,Defense,Anne-Grete Strøm-Erichsen,21 September 2012,16 October 2013
Norway,Defense,Ine Eriksen Søreide,16 October 2013,20 October 2017
Norway,Defense,Frank Bakke-Jensen,20 October 2017,14 October 2021
Norway,Defense,Odd Roger Enoksen,14 October 2021,12 April 2022
Norway,Defense,Bjørn Arild Gram,12 April 2022,4 February 2025
Norway,Defense,Tore O. Sandvik,4 February 2025,Incumbent
