country,portfolio,name,start_date,end_date,dob,dod,cause_of_death,wikidata_id
Norway,Finance,Per Kleppe,1973-10-16,1979-10-08,1923-04-13,2021-03-10,,Q2318041
Norway,Finance,Ulf Sand,1979-10-08,1981-10-14,1938-05-22,2014-12-29,,Q1770405
Norway,Finance,Rolf Presthus,1981-10-14,1986-04-25,1936-07-29,1988-01-01,,Q322184
Norway,Finance,Arne Skauge,1986-04-25,1986-05-09,1948-01-27,,,Q1772357
Norway,Finance,Gunnar Berge,1986-05-09,1989-10-16,1940-01-01,,,Q3357149
Norway,Finance,Arne Skauge,1989-10-16,1990-11-03,1948-01-27,,,Q1772357
Norway,Finance,Sigbjørn Johnsen,1990-11-03,1996-10-25,1950-10-01,,,Q1538317
Norway,Finance,Jens Stoltenberg,1996-10-25,1997-10-17,1959-03-16,,,Q57665
Norway,Finance,Gudmund Restad,1997-10-17,2000-03-17,1937-12-19,2021-09-18,,Q1350183
Norway,Finance,Karl Eirik Schjøtt-Pedersen,2000-03-17,2001-10-19,1959-10-03,,,Q1350164
Norway,Finance,Per-Kristian Foss,2001-10-19,2005-10-17,1950-07-19,,,Q1082481
Norway,Finance,Kristin Halvorsen,2005-10-17,2009-10-20,1960-09-02,,,Q236621
Norway,Finance,Sigbjørn Johnsen,2009-10-20,2013-10-16,1950-10-01,,,Q1538317
Norway,Finance,Siv Jensen,2013-10-16,2020-01-24,1969-06-01,,,Q272938
Norway,Finance,Jan Tore Sanner,2020-01-24,2021-10-14,1965-05-06,,,Q156553
Norway,Finance,Trygve Slagsvold Vedum,2021-10-14,2025-02-04,1978-12-01,,,Q548001
Norway,Finance,Jens Stoltenberg,2025-02-04,Incumbent,1959-03-16,,,Q57665
