country,portfolio,name,start_date,end_date
Norway,Finance,Per Kleppe,1973-10-16,1979-10-08
Norway,Finance,Ulf Sand,1979-10-08,1981-10-14
Norway,Finance,Rolf Presthus,1981-10-14,1986-04-25
Norway,Finance,Arne Skauge,1986-04-25,1986-05-09
Norway,Finance,Gunnar Berge,1986-05-09,1989-10-16
Norway,Finance,Arne Skauge,1989-10-16,1990-11-03
Norway,Finance,Sigbjørn Johnsen,1990-11-03,1996-10-25
Norway,Finance,Jens Stoltenberg,1996-10-25,1997-10-17
Norway,Finance,Gudmund Restad,1997-10-17,2000-03-17
Norway,Finance,Karl Eirik Schjøtt-Pedersen,2000-03-17,2001-10-19
Norway,Finance,Per-Kristian Foss,2001-10-19,2005-10-17
Norway,Finance,Kristin Halvorsen,2005-10-17,2009-10-20
Norway,Finance,Sigbjørn Johnsen,2009-10-20,2013-10-16
Norway,Finance,Siv Jensen,2013-10-16,2020-01-24
Norway,Finance,Jan Tore Sanner,2020-01-24,2021-10-14
Norway,Finance,Trygve Slagsvold Vedum,2021-10-14,2025-02-04
Norway,Finance,Jens Stoltenberg,2025-02-04,Incumbent
